level,connector_lower,n_entries,macro_categories,subcategories,relations,taxis_values
intra_sentential,as,3,Elaboration; Enhancement,Causal-Conditional; Clarifying; Temporal,Reason; Simultaneous; hypotactic,hypotactic
intra_sentential,while,3,Enhancement; Extension,Addition; Causal-Conditional; Temporal,Concessive; Simultaneous; hypotactic,hypotactic
intra_sentential,and,2,Enhancement; Extension,Addition; Temporal,Simultaneous; paratactic,paratactic
intra_sentential,as if,2,Elaboration; Enhancement,Exemplifying; Manner,Comparison; hypotactic,hypotactic
intra_sentential,as though,2,Elaboration; Enhancement,Exemplifying; Manner,Comparison; hypotactic,hypotactic
intra_sentential,because,2,Elaboration; Enhancement,Causal-Conditional; Clarifying,Reason; hypotactic,hypotactic
intra_sentential,but,2,Enhancement; Extension,Causal-Conditional; Variation,Concessive; Subtractive,paratactic
intra_sentential,since,2,Enhancement,Causal-Conditional; Temporal,Later; Reason,hypotactic
intra_sentential,so,2,Enhancement,Causal-Conditional; Manner,Comparison; Reason,paratactic
intra_sentential,thus,2,Enhancement,Causal-Conditional; Manner,Comparison; Reason,paratactic
intra_sentential,when,2,Enhancement,Temporal,Later; Simultaneous,hypotactic
inter_sentential,thus,3,Enhancement,Causal-Conditional; Manner,General; Means; Reason,
inter_sentential,accordingly,2,Enhancement,Causal-Conditional,General; Reason,
inter_sentential,admittedly,2,Elaboration; Enhancement,Causal-Conditional; Clarifying,Concessive; Verificative,
inter_sentential,alternatively,2,Extension,Adversative; Variation,Replacive,
inter_sentential,although,2,Enhancement; Extension,Adversative; Causal-Conditional,Concessive,
inter_sentential,as a result,2,Enhancement,Causal-Conditional,General; Reason,
inter_sentential,be that as it may,2,Elaboration; Extension,Adversative; Clarifying,Dismissive,
inter_sentential,chiefly,2,Elaboration,Clarifying; Exemplifying,Particularizing,
inter_sentential,consequently,2,Enhancement,Causal-Conditional,General; Reason,
inter_sentential,even though,2,Enhancement; Extension,Adversative; Causal-Conditional,Concessive,
inter_sentential,hence,2,Enhancement,Causal-Conditional,General; Reason,
inter_sentential,nevertheless,2,Enhancement; Extension,Adversative; Causal-Conditional,Concessive,
inter_sentential,nonetheless,2,Enhancement; Extension,Adversative; Causal-Conditional,Concessive,
inter_sentential,on the contrary,2,Extension,Adversative; Variation,Replacive,
inter_sentential,rather,2,Elaboration; Extension,Clarifying; Variation,Corrective; Replacive,
inter_sentential,regardless,2,Elaboration; Enhancement,Causal-Conditional; Clarifying,Concessive; Dismissive,
inter_sentential,specifically,2,Elaboration,Clarifying; Exemplifying,Particularizing,
inter_sentential,that is,2,Elaboration,Appositive,,
