level,macro_category,subcategory,relation,taxis,connector
inter_sentential,Elaboration,Appositive,,,in other words
inter_sentential,Elaboration,Appositive,,,that is
inter_sentential,Elaboration,Appositive,,,that is
inter_sentential,Elaboration,Appositive,,,this is
inter_sentential,Elaboration,Appositive,,,i.e.
inter_sentential,Elaboration,Appositive,,,viz.
inter_sentential,Elaboration,Appositive,,,to put it another way
inter_sentential,Elaboration,Appositive,,,to rephrase
inter_sentential,Elaboration,Appositive,,,that is to say
inter_sentential,Elaboration,Appositive,,,namely
inter_sentential,Elaboration,Appositive,,,in plain terms
inter_sentential,Elaboration,Appositive,,,to clarify
inter_sentential,Elaboration,Appositive,,,to spell out
inter_sentential,Elaboration,Appositive,,,meaning
inter_sentential,Elaboration,Appositive,,,as in
inter_sentential,Elaboration,Appositive,,,in essence
inter_sentential,Elaboration,Appositive,,,that
inter_sentential,Elaboration,Exemplifying,,,for example
inter_sentential,Elaboration,Exemplifying,,,e.g.
inter_sentential,Elaboration,Exemplifying,,,for instance
inter_sentential,Elaboration,Exemplifying,,,to illustrate
inter_sentential,Elaboration,Exemplifying,,,as an example
inter_sentential,Elaboration,Exemplifying,,,by way of illustration
inter_sentential,Elaboration,Exemplifying,,,a case in point
inter_sentential,Elaboration,Exemplifying,,,take the case of
inter_sentential,Elaboration,Exemplifying,,,consider
inter_sentential,Elaboration,Exemplifying,,,notably
inter_sentential,Elaboration,Exemplifying,,,including
inter_sentential,Elaboration,Exemplifying,,,such as
inter_sentential,Elaboration,Exemplifying,,,among others
inter_sentential,Elaboration,Exemplifying,,,to name a few
inter_sentential,Elaboration,Exemplifying,,,specifically
inter_sentential,Elaboration,Exemplifying,,,chiefly
inter_sentential,Elaboration,Exemplifying,,,principally
inter_sentential,Elaboration,Clarifying,Corrective,,or rather
inter_sentential,Elaboration,Clarifying,Corrective,,at least
inter_sentential,Elaboration,Clarifying,Corrective,,to be more precise
inter_sentential,Elaboration,Clarifying,Corrective,,strictly speaking
inter_sentential,Elaboration,Clarifying,Corrective,,technically
inter_sentential,Elaboration,Clarifying,Corrective,,more accurately
inter_sentential,Elaboration,Clarifying,Corrective,,properly speaking
inter_sentential,Elaboration,Clarifying,Corrective,,in strict terms
inter_sentential,Elaboration,Clarifying,Corrective,,maybe
inter_sentential,Elaboration,Clarifying,Corrective,,perhaps
inter_sentential,Elaboration,Clarifying,Corrective,,rather
inter_sentential,Elaboration,Clarifying,Distractive,,by the way
inter_sentential,Elaboration,Clarifying,Distractive,,incidentally
inter_sentential,Elaboration,Clarifying,Distractive,,parenthetically
inter_sentential,Elaboration,Clarifying,Distractive,,tangentially
inter_sentential,Elaboration,Clarifying,Distractive,,on a side note
inter_sentential,Elaboration,Clarifying,Distractive,,while we’re on the subject
inter_sentential,Elaboration,Clarifying,Distractive,,not unrelatedly
inter_sentential,Elaboration,Clarifying,Dismissive,,in any case
inter_sentential,Elaboration,Clarifying,Dismissive,,anyway
inter_sentential,Elaboration,Clarifying,Dismissive,,anyhow
inter_sentential,Elaboration,Clarifying,Dismissive,,leaving that aside
inter_sentential,Elaboration,Clarifying,Dismissive,,regardless
inter_sentential,Elaboration,Clarifying,Dismissive,,be that as it may
inter_sentential,Elaboration,Clarifying,Dismissive,,at any rate
inter_sentential,Elaboration,Clarifying,Dismissive,,come what may
inter_sentential,Elaboration,Clarifying,Dismissive,,no matter what
inter_sentential,Elaboration,Clarifying,Dismissive,,whatever
inter_sentential,Elaboration,Clarifying,Particularizing,,in particular
inter_sentential,Elaboration,Clarifying,Particularizing,,more especially
inter_sentential,Elaboration,Clarifying,Particularizing,,not least
inter_sentential,Elaboration,Clarifying,Particularizing,,above all
inter_sentential,Elaboration,Clarifying,Particularizing,,chiefly
inter_sentential,Elaboration,Clarifying,Particularizing,,mainly
inter_sentential,Elaboration,Clarifying,Particularizing,,primarily
inter_sentential,Elaboration,Clarifying,Particularizing,,specifically
inter_sentential,Elaboration,Clarifying,Resumptive,,as I was saying
inter_sentential,Elaboration,Clarifying,Resumptive,,to resume
inter_sentential,Elaboration,Clarifying,Resumptive,,to return to the point
inter_sentential,Elaboration,Clarifying,Resumptive,,getting back to
inter_sentential,Elaboration,Clarifying,Resumptive,,to circle back
inter_sentential,Elaboration,Clarifying,Resumptive,,revisiting
inter_sentential,Elaboration,Clarifying,Resumptive,,to recap
inter_sentential,Elaboration,Clarifying,Summative,,after all
inter_sentential,Elaboration,Clarifying,Summative,,in short
inter_sentential,Elaboration,Clarifying,Summative,,to sum up
inter_sentential,Elaboration,Clarifying,Summative,,in conclusion
inter_sentential,Elaboration,Clarifying,Summative,,briefly
inter_sentential,Elaboration,Clarifying,Summative,,in a nutshell
