level,macro_category,subcategory,relation,taxis,connector
inter_paragraph,Elaboration,Appositive,,,in other words
inter_paragraph,Elaboration,Appositive,,,that is
inter_paragraph,Elaboration,Appositive,,,this is
inter_paragraph,Elaboration,Appositive,,,i.e.
inter_paragraph,Elaboration,Appositive,,,viz.
inter_paragraph,Elaboration,Appositive,,,to put it another way
inter_paragraph,Elaboration,Appositive,,,to rephrase
inter_paragraph,Elaboration,Appositive,,,that is to say
inter_paragraph,Elaboration,Appositive,,,namely
inter_paragraph,Elaboration,Appositive,,,in plain terms
inter_paragraph,Elaboration,Appositive,,,to clarify
inter_paragraph,Elaboration,Appositive,,,to spell out
inter_paragraph,Elaboration,Appositive,,,meaning
inter_paragraph,Elaboration,Appositive,,,as in
inter_paragraph,Elaboration,Appositive,,,in essence
inter_paragraph,Elaboration,Appositive,,,that
inter_paragraph,Elaboration,Appositive,,,in other terms
inter_paragraph,Elaboration,Appositive,,,put differently
inter_paragraph,Elaboration,Appositive,,,to put it simply
inter_paragraph,Elaboration,Appositive,,,simply put
inter_paragraph,Elaboration,Appositive,,,in simpler terms
inter_paragraph,Elaboration,Appositive,,,to put it bluntly
inter_paragraph,Elaboration,Appositive,,,in short
inter_paragraph,Elaboration,Appositive,,,in brief
inter_paragraph,Elaboration,Appositive,,,essentially
inter_paragraph,Elaboration,Appositive,,,fundamentally
inter_paragraph,Elaboration,Appositive,,,at its core
inter_paragraph,Elaboration,Appositive,,,to summarise
inter_paragraph,Elaboration,Appositive,,,to restate
inter_paragraph,Elaboration,Appositive,,,stated differently
inter_paragraph,Elaboration,Appositive,,,put another way
inter_paragraph,Elaboration,Appositive,,,in effect
inter_paragraph,Elaboration,Exemplifying,,,for example
inter_paragraph,Elaboration,Exemplifying,,,e.g.
inter_paragraph,Elaboration,Exemplifying,,,for instance
inter_paragraph,Elaboration,Exemplifying,,,to illustrate
inter_paragraph,Elaboration,Exemplifying,,,as an example
inter_paragraph,Elaboration,Exemplifying,,,by way of illustration
inter_paragraph,Elaboration,Exemplifying,,,a case in point
inter_paragraph,Elaboration,Exemplifying,,,take the case of
inter_paragraph,Elaboration,Exemplifying,,,consider
inter_paragraph,Elaboration,Exemplifying,,,notably
inter_paragraph,Elaboration,Exemplifying,,,including
inter_paragraph,Elaboration,Exemplifying,,,such as
inter_paragraph,Elaboration,Exemplifying,,,among others
inter_paragraph,Elaboration,Exemplifying,,,to name a few
inter_paragraph,Elaboration,Exemplifying,,,specifically
inter_paragraph,Elaboration,Exemplifying,,,chiefly
inter_paragraph,Elaboration,Exemplifying,,,principally
inter_paragraph,Elaboration,Exemplifying,,,as an illustration
inter_paragraph,Elaboration,Exemplifying,,,as shown by
inter_paragraph,Elaboration,Exemplifying,,,to give an example
inter_paragraph,Elaboration,Exemplifying,,,to give a concrete example
inter_paragraph,Elaboration,Exemplifying,,,as evidence
inter_paragraph,Elaboration,Exemplifying,,,to illustrate this further
inter_paragraph,Elaboration,Exemplifying,,,as demonstrated by
inter_paragraph,Elaboration,Exemplifying,,,as evidenced by
inter_paragraph,Elaboration,Exemplifying,,,consider the following
inter_paragraph,Elaboration,Exemplifying,,,"take, for example"
inter_paragraph,Elaboration,Exemplifying,,,"take, for instance"
inter_paragraph,Elaboration,Exemplifying,,,in particular
inter_paragraph,Elaboration,Exemplifying,,,most notably
inter_paragraph,Elaboration,Exemplifying,,,specifically speaking
inter_paragraph,Elaboration,Exemplifying,,,especially
inter_paragraph,Elaboration,Exemplifying,,,as reflected in
inter_paragraph,Elaboration,Clarifying,Corrective,,or rather
inter_paragraph,Elaboration,Clarifying,Corrective,,at least
inter_paragraph,Elaboration,Clarifying,Corrective,,to be more precise
inter_paragraph,Elaboration,Clarifying,Corrective,,strictly speaking
inter_paragraph,Elaboration,Clarifying,Corrective,,technically
inter_paragraph,Elaboration,Clarifying,Corrective,,more accurately
inter_paragraph,Elaboration,Clarifying,Corrective,,properly speaking
inter_paragraph,Elaboration,Clarifying,Corrective,,in strict terms
inter_paragraph,Elaboration,Clarifying,Corrective,,maybe
inter_paragraph,Elaboration,Clarifying,Corrective,,perhaps
inter_paragraph,Elaboration,Clarifying,Corrective,,rather
inter_paragraph,Elaboration,Clarifying,Corrective,,more precisely
inter_paragraph,Elaboration,Clarifying,Corrective,,to be exact
inter_paragraph,Elaboration,Clarifying,Corrective,,more specifically
inter_paragraph,Elaboration,Clarifying,Corrective,,more strictly speaking
inter_paragraph,Elaboration,Clarifying,Corrective,,to be technical
inter_paragraph,Elaboration,Clarifying,Corrective,,put more accurately
inter_paragraph,Elaboration,Clarifying,Corrective,,to be clear
