level,connector,path_1,path_2,path_3,path_4,path_5,macro_category,connector_lower,include_main_v2
intra_sentential,and,Enhancement,Temporal,Simultaneous,paratactic,,Enhancement,and,True
intra_sentential,meanwhile,Enhancement,Temporal,Simultaneous,paratactic,,Enhancement,meanwhile,True
intra_sentential,at the same time,Enhancement,Temporal,Simultaneous,paratactic,,Enhancement,at the same time,True
intra_sentential,simultaneously,Enhancement,Temporal,Simultaneous,paratactic,,Enhancement,simultaneously,True
intra_sentential,just then,Enhancement,Temporal,Simultaneous,paratactic,,Enhancement,just then,True
intra_sentential,while,Enhancement,Temporal,Simultaneous,hypotactic,,Enhancement,while,True
intra_sentential,as,Enhancement,Temporal,Simultaneous,hypotactic,,Enhancement,as,True
intra_sentential,when,Enhancement,Temporal,Simultaneous,hypotactic,,Enhancement,when,True
intra_sentential,whilst,Enhancement,Temporal,Simultaneous,hypotactic,,Enhancement,whilst,True
intra_sentential,just as,Enhancement,Temporal,Simultaneous,hypotactic,,Enhancement,just as,True
intra_sentential,then,Enhancement,Temporal,Later,paratactic,,Enhancement,then,True
intra_sentential,afterwards,Enhancement,Temporal,Later,paratactic,,Enhancement,afterwards,True
intra_sentential,subsequently,Enhancement,Temporal,Later,paratactic,,Enhancement,subsequently,True
intra_sentential,later on,Enhancement,Temporal,Later,paratactic,,Enhancement,later on,True
intra_sentential,next,Enhancement,Temporal,Later,paratactic,,Enhancement,next,True
intra_sentential,after,Enhancement,Temporal,Later,hypotactic,,Enhancement,after,True
intra_sentential,since,Enhancement,Temporal,Later,hypotactic,,Enhancement,since,True
intra_sentential,once,Enhancement,Temporal,Later,hypotactic,,Enhancement,once,True
intra_sentential,when,Enhancement,Temporal,Later,hypotactic,,Enhancement,when,True
intra_sentential,as soon as,Enhancement,Temporal,Later,hypotactic,,Enhancement,as soon as,True
intra_sentential,before that,Enhancement,Temporal,Earlier,paratactic,,Enhancement,before that,True
intra_sentential,previously,Enhancement,Temporal,Earlier,paratactic,,Enhancement,previously,True
intra_sentential,earlier,Enhancement,Temporal,Earlier,paratactic,,Enhancement,earlier,True
intra_sentential,until then,Enhancement,Temporal,Earlier,paratactic,,Enhancement,until then,True
intra_sentential,hitherto,Enhancement,Temporal,Earlier,paratactic,,Enhancement,hitherto,True
intra_sentential,before,Enhancement,Temporal,Earlier,hypotactic,,Enhancement,before,True
intra_sentential,until,Enhancement,Temporal,Earlier,hypotactic,,Enhancement,until,True
intra_sentential,till,Enhancement,Temporal,Earlier,hypotactic,,Enhancement,till,True
intra_sentential,prior to,Enhancement,Temporal,Earlier,hypotactic,,Enhancement,prior to,True
intra_sentential,by the time,Enhancement,Temporal,Earlier,hypotactic,,Enhancement,by the time,True
intra_sentential,finally,Enhancement,Temporal,Conclusive,paratactic,,Enhancement,finally,True
intra_sentential,in the end,Enhancement,Temporal,Conclusive,paratactic,,Enhancement,in the end,True
intra_sentential,last of all,Enhancement,Temporal,Conclusive,paratactic,,Enhancement,last of all,True
intra_sentential,so,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,so,True
intra_sentential,and so,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,and so,True
intra_sentential,therefore,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,therefore,True
intra_sentential,thus,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,thus,True
intra_sentential,hence,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,hence,True
intra_sentential,consequently,Enhancement,Causal-Conditional,Reason,paratactic,,Enhancement,consequently,True
intra_sentential,because,Enhancement,Causal-Conditional,Reason,hypotactic,,Enhancement,because,True
intra_sentential,as,Enhancement,Causal-Conditional,Reason,hypotactic,,Enhancement,as,True
intra_sentential,since,Enhancement,Causal-Conditional,Reason,hypotactic,,Enhancement,since,True
intra_sentential,given that,Enhancement,Causal-Conditional,Reason,hypotactic,,Enhancement,given that,True
intra_sentential,due to the fact that,Enhancement,Causal-Conditional,Reason,hypotactic,,Enhancement,due to the fact that,True
intra_sentential,in consequence,Enhancement,Causal-Conditional,Result,paratactic,,Enhancement,in consequence,True
intra_sentential,as a result,Enhancement,Causal-Conditional,Result,paratactic,,Enhancement,as a result,True
intra_sentential,so that,Enhancement,Causal-Conditional,Result,hypotactic,,Enhancement,so that,True
intra_sentential,such that,Enhancement,Causal-Conditional,Result,hypotactic,,Enhancement,such that,True
intra_sentential,for this purpose,Enhancement,Causal-Conditional,Purpose,paratactic,,Enhancement,for this purpose,True
intra_sentential,with this in view,Enhancement,Causal-Conditional,Purpose,paratactic,,Enhancement,with this in view,True
intra_sentential,so that,Enhancement,Causal-Conditional,Purpose,hypotactic,,Enhancement,so that,True
intra_sentential,in order that,Enhancement,Causal-Conditional,Purpose,hypotactic,,Enhancement,in order that,True
