level,scope,macro_category,n_indices
inter_paragraph,all_dictionary_entries,Elaboration,9
inter_paragraph,all_dictionary_entries,Enhancement,23
inter_paragraph,all_dictionary_entries,Extension,7
inter_paragraph,all_dictionary_entries,TOTAL,39
inter_paragraph,main_v2_included_only,Elaboration,9
inter_paragraph,main_v2_included_only,Enhancement,23
inter_paragraph,main_v2_included_only,Extension,6
inter_paragraph,main_v2_included_only,TOTAL,38
inter_sentential,all_dictionary_entries,Elaboration,9
inter_sentential,all_dictionary_entries,Enhancement,23
inter_sentential,all_dictionary_entries,Extension,7
inter_sentential,all_dictionary_entries,TOTAL,39
inter_sentential,main_v2_included_only,Elaboration,9
inter_sentential,main_v2_included_only,Enhancement,23
inter_sentential,main_v2_included_only,Extension,7
inter_sentential,main_v2_included_only,TOTAL,39
intra_sentential,all_dictionary_entries,Elaboration,14
intra_sentential,all_dictionary_entries,Enhancement,28
intra_sentential,all_dictionary_entries,Extension,10
intra_sentential,all_dictionary_entries,TOTAL,52
intra_sentential,main_v2_included_only,Elaboration,14
intra_sentential,main_v2_included_only,Enhancement,28
intra_sentential,main_v2_included_only,Extension,10
intra_sentential,main_v2_included_only,TOTAL,52
