corpus,group_var,group_order,n_texts,zero_detection_n,zero_detection_pct,word_count_median,word_count_mean,detected_cases_raw_mean,detected_cases_raw_median,detected_cases_raw_sd,detected_cases_raw_q1,detected_cases_raw_q3,detected_cases_raw_max,detected_cases_per_1000_mean,detected_cases_per_1000_median,detected_cases_per_1000_sd,detected_cases_per_1000_q1,detected_cases_per_1000_q3,detected_cases_per_1000_max,taxis_paratactic_raw_mean,taxis_paratactic_raw_median,taxis_paratactic_raw_sd,taxis_paratactic_raw_q1,taxis_paratactic_raw_q3,taxis_paratactic_raw_max,taxis_paratactic_per_1000_mean,taxis_paratactic_per_1000_median,taxis_paratactic_per_1000_sd,taxis_paratactic_per_1000_q1,taxis_paratactic_per_1000_q3,taxis_paratactic_per_1000_max,taxis_hypotactic_raw_mean,taxis_hypotactic_raw_median,taxis_hypotactic_raw_sd,taxis_hypotactic_raw_q1,taxis_hypotactic_raw_q3,taxis_hypotactic_raw_max,taxis_hypotactic_per_1000_mean,taxis_hypotactic_per_1000_median,taxis_hypotactic_per_1000_sd,taxis_hypotactic_per_1000_q1,taxis_hypotactic_per_1000_q3,taxis_hypotactic_per_1000_max,macro_enhancement_raw_mean,macro_enhancement_raw_median,macro_enhancement_raw_sd,macro_enhancement_raw_q1,macro_enhancement_raw_q3,macro_enhancement_raw_max,macro_enhancement_per_1000_mean,macro_enhancement_per_1000_median,macro_enhancement_per_1000_sd,macro_enhancement_per_1000_q1,macro_enhancement_per_1000_q3,macro_enhancement_per_1000_max
COREFL,A1,1,259,0,0.0,277.0,283.53,4.5328,4.0,2.5823,3.0,6.0,22.0,15.4514,13.8889,6.5747,10.3094,19.7628,36.1248,1.61,1.0,1.8548,0.0,2.5,10.0,5.2569,3.7594,5.4624,0.0,8.3023,23.8095,2.9228,2.0,1.249,2.0,4.0,12.0,10.1945,9.1743,3.3008,7.5902,12.2325,22.8758,4.4865,4.0,2.5705,3.0,6.0,22.0,15.2925,13.8889,6.5422,9.772,19.2926,36.1248
COREFL,A2,2,562,0,0.0,307.0,321.8,6.1388,6.0,3.0331,4.0,8.0,25.0,18.6736,17.6835,7.1539,13.6544,23.6088,46.7532,2.5356,2.0,2.242,1.0,4.0,12.0,7.5732,6.7002,6.0809,3.3031,10.6596,32.6409,3.6032,3.0,1.6124,2.0,4.0,14.0,11.1004,10.4941,3.9869,7.7973,13.468,31.7003,6.0125,5.0,3.0089,4.0,7.0,24.0,18.2855,17.2414,7.1413,13.2671,23.3202,46.7532
COREFL,B1,3,714,0,0.0,334.0,352.39,7.3053,6.0,3.8147,5.0,9.0,28.0,20.0844,19.0045,7.6504,14.2552,24.9889,50.3597,2.9748,2.0,2.6225,1.0,4.0,16.0,7.9961,6.8729,6.1694,3.3445,11.5626,36.2694,4.3305,4.0,2.0175,3.0,5.0,16.0,12.0883,11.5741,4.25,9.0806,14.5808,25.4777,7.1134,6.0,3.7823,4.0,9.0,28.0,19.5482,18.6617,7.6712,13.834,24.6091,50.3597
COREFL,B2,4,923,0,0.0,360.0,375.59,7.4843,7.0,4.0373,5.0,9.0,43.0,19.2906,18.5676,7.2896,13.9926,23.6176,43.5967,2.6165,2.0,2.4031,1.0,4.0,18.0,6.6247,5.7803,5.386,2.7625,9.697,31.1751,4.8678,4.0,2.4609,3.0,6.0,25.0,12.6659,12.1951,4.4384,9.5847,15.2298,27.9605,7.2384,6.0,3.9376,4.0,9.0,42.0,18.6689,17.7215,7.1704,13.4635,22.756,43.5967
COREFL,C1,5,712,0,0.0,385.0,407.77,7.7149,7.0,4.0261,5.0,10.0,46.0,18.4302,17.88,6.4491,13.8289,22.2812,44.3548,2.4508,2.0,2.1888,1.0,3.0,26.0,5.7222,5.1813,4.3598,2.7586,8.18,25.0,5.264,5.0,2.5995,3.0,7.0,26.0,12.708,12.1029,4.4403,9.6096,15.6539,32.2581,7.4003,7.0,3.8657,5.0,9.0,42.0,17.6838,16.8967,6.3129,13.278,21.4797,42.3387
COREFL,C2,6,278,0,0.0,418.5,439.35,8.2734,7.0,5.0725,5.0,10.0,34.0,17.9868,17.5648,6.5479,13.2765,21.726,42.3529,2.5324,2.0,2.5866,1.0,3.0,16.0,5.3389,4.5873,4.5095,2.1786,7.4504,25.8824,5.741,5.0,3.2219,3.0,7.0,23.0,12.648,11.9709,4.2584,9.6154,15.2386,27.7264,7.8489,7.0,4.8111,5.0,9.0,32.0,17.1072,16.3218,6.3077,12.6582,20.499,42.3529
EFCAMDAT,A1,1,32831,13511,41.15,56.0,40.94,0.9663,1.0,1.0723,0.0,2.0,9.0,14.2221,13.1579,15.7975,0.0,20.0,122.807,0.7805,1.0,0.9318,0.0,1.0,8.0,11.4111,10.7527,13.6433,0.0,17.8571,106.383,0.1858,0.0,0.5129,0.0,0.0,6.0,2.8109,0.0,7.7576,0.0,0.0,80.6452,0.9518,1.0,1.0619,0.0,1.0,9.0,13.9964,12.987,15.6233,0.0,19.6078,122.807
EFCAMDAT,A2,2,117986,33850,28.69,64.0,51.73,1.5306,1.0,1.4686,0.0,2.0,12.0,21.5152,16.3934,20.4756,0.0,32.967,190.4762,0.8487,1.0,0.9953,0.0,1.0,8.0,11.9568,11.236,14.0687,0.0,17.8571,137.2549,0.6819,0.0,0.9836,0.0,1.0,12.0,9.5584,0.0,13.6999,0.0,15.625,190.4762,1.4805,1.0,1.4553,0.0,2.0,12.0,20.8438,15.873,20.3403,0.0,32.2581,190.4762
EFCAMDAT,B1,3,60390,13175,21.82,88.0,75.62,1.8632,2.0,1.6215,1.0,3.0,13.0,19.3828,16.9492,16.1823,9.0909,29.1262,116.5049,0.9895,1.0,1.1233,0.0,2.0,10.0,10.3856,9.6154,11.7749,0.0,16.5289,95.8904,0.8737,1.0,1.0769,0.0,1.0,9.0,8.9972,8.1967,10.9056,0.0,13.6986,85.1064,1.7333,1.0,1.5773,1.0,3.0,13.0,18.0172,14.0845,15.7659,7.4627,27.3973,114.2857
EFCAMDAT,B2,4,18162,2262,12.45,130.0,119.61,2.5807,2.0,1.9101,1.0,4.0,16.0,19.1619,17.5439,13.968,8.6957,27.2109,113.4752,1.1854,1.0,1.2647,0.0,2.0,10.0,8.7021,7.0423,9.304,0.0,13.6986,80.6452,1.3952,1.0,1.3719,0.0,2.0,13.0,10.4598,8.2645,10.395,0.0,16.0,112.5,2.3595,2.0,1.8416,1.0,3.0,16.0,17.5265,15.625,13.513,7.6923,25.641,113.4752
