corpus,group_order,group_var,parataxis_raw,hypotaxis_raw,detected_raw,parataxis_pct,hypotaxis_pct
COREFL,1,A1,417.0,757.0,1174.0,35.51959114139693,64.48040885860307
COREFL,2,A2,1425.0,2025.0,3450.0,41.30434782608695,58.69565217391305
COREFL,3,B1,2124.0,3092.0,5216.0,40.72085889570552,59.279141104294474
COREFL,4,B2,2415.0,4493.0,6908.0,34.95946728430805,65.04053271569195
COREFL,5,C1,1745.0,3748.0,5493.0,31.767704350992172,68.23229564900782
COREFL,6,C2,704.0,1596.0,2300.0,30.60869565217391,69.3913043478261
EFCAMDAT,1,A1,25626.0,6100.0,31726.0,80.77286767950577,19.22713232049423
EFCAMDAT,2,A2,100133.0,80456.0,180589.0,55.44800624622762,44.55199375377238
EFCAMDAT,3,B1,59758.0,52763.0,112521.0,53.10830867127025,46.89169132872975
EFCAMDAT,4,B2,21530.0,25340.0,46870.0,45.93556646042244,54.06443353957755
EFCAMDAT,5,C1,5123.0,5749.0,10872.0,47.121044885945544,52.87895511405445
GiG,2,2,736.0,499.0,1235.0,59.59514170040487,40.40485829959514
GiG,4,4,112.0,94.0,206.0,54.36893203883495,45.63106796116505
GiG,6,6,2253.0,3077.0,5330.0,42.270168855534706,57.729831144465294
GiG,9,9,2625.0,3982.0,6607.0,39.73058876948691,60.26941123051309
GiG,11,11,1937.0,3573.0,5510.0,35.15426497277677,64.84573502722323
