corpus,variable,label,n,mean,median,sd,zero_rows
COREFL,conjunction_density,Conjunction density,3416,38.020143451087904,36.875802674321974,17.37664760652082,71
COREFL,parataxis_density,Parataxis density,3416,17.220518873781504,14.814814814814815,13.21928326058278,479
COREFL,hypotaxis_density,Hypotaxis density,3416,20.7996245773064,20.202020202020204,12.935674399234598,326
COREFL,extension_density,Extension density,3416,10.7125038321753,8.695652173913043,10.732807529338814,942
COREFL,enhancement_density,Enhancement density,3416,19.92645228468226,19.230769230769234,12.37219445675826,338
COREFL,elaboration_density,Elaboration density,3416,7.3811873342303445,5.524861878453039,8.525866325563443,1382
EFCAMDAT,conjunction_density,Conjunction density,232565,22.43941850442232,18.51851851851852,19.69552899546198,54833
EFCAMDAT,parataxis_density,Parataxis density,232565,12.449627329638037,10.989010989010989,13.984086686120877,97070
EFCAMDAT,hypotaxis_density,Hypotaxis density,232565,9.989791174784283,0.0,13.38210768517356,120708
EFCAMDAT,extension_density,Extension density,232565,9.328327478910781,0.0,12.439843876261497,122200
EFCAMDAT,enhancement_density,Enhancement density,232565,11.289283081602793,8.403361344537815,14.159653651160346,110611
EFCAMDAT,elaboration_density,Elaboration density,232565,1.8218079439087493,0.0,5.117006850029572,200332
GiG,conjunction_density,Conjunction density,2684,27.176658724261774,25.64102564102564,16.151688053055377,171
GiG,parataxis_density,Parataxis density,2684,10.31051503788531,7.981377670191531,10.98491474296601,590
GiG,hypotaxis_density,Hypotaxis density,2684,16.866143686376464,15.706806282722512,12.49942651815775,390
GiG,extension_density,Extension density,2684,6.28933094484648,4.0760944812117526,8.44217935945939,961
GiG,enhancement_density,Enhancement density,2684,17.381692410068187,16.021390374331553,12.591405493411475,330
GiG,elaboration_density,Elaboration density,2684,3.5056353693471043,0.0,5.042843200197676,1373
