corpus,feature_level,n,n_classes,n_features,baseline_macro_f1,baseline_balanced_accuracy,baseline_accuracy,rf_macro_f1,rf_macro_f1_sd,rf_balanced_accuracy,rf_balanced_accuracy_sd,rf_accuracy,rf_accuracy_sd
COREFL,intra_only,435,6,35,0.069,0.167,0.26,0.201,0.038,0.214,0.035,0.301,0.042
COREFL,intersent_only,435,6,37,0.069,0.167,0.26,0.231,0.032,0.233,0.033,0.274,0.023
COREFL,interpara_only,435,6,32,0.069,0.167,0.26,0.213,0.031,0.217,0.031,0.271,0.027
COREFL,all_available,435,6,104,0.069,0.167,0.26,0.209,0.023,0.224,0.02,0.306,0.023
EFCAMDAT,intra_only,69744,5,38,0.113,0.2,0.393,0.455,0.005,0.49,0.008,0.548,0.003
EFCAMDAT,intersent_only,69744,5,42,0.113,0.2,0.393,0.457,0.003,0.514,0.002,0.534,0.003
EFCAMDAT,all_available,69744,5,80,0.113,0.2,0.393,0.513,0.001,0.504,0.001,0.651,0.002
GiG,intra_only,1012,5,38,0.102,0.2,0.341,0.374,0.014,0.368,0.014,0.487,0.014
GiG,intersent_only,1012,5,39,0.102,0.2,0.341,0.424,0.041,0.421,0.043,0.505,0.035
GiG,interpara_only,1012,5,39,0.102,0.2,0.341,0.462,0.038,0.469,0.042,0.486,0.026
GiG,all_available,1012,5,116,0.102,0.2,0.341,0.53,0.039,0.513,0.029,0.617,0.024
