text_id,detected_item,n_cases
cn_wr_b1_24_14_14_zy,lastly,1
cn_wr_b1_28_14_14_yxy,in this moment,1
cn_wr_b2_26_17_14_js,seeing that,1
cn_wr_c1_22_16_14_ihs,simultaneously,1
cz_wr_a2_18_8.5_14_al,after,1
cz_wr_a2_18_8.5_14_al,and,1
cz_wr_a2_18_8.5_14_al,at first,1
cz_wr_a2_18_8.5_14_al,then,1
cz_wr_a2_18_9_14_kz,then,2
cz_wr_a2_19_13_14_vv,after,1
cz_wr_a2_19_13_14_vv,then,2
cz_wr_b1_20_14_14_at,after a while,1
cz_wr_b1_47_4_14_vh,meanwhile,1
cz_wr_b1_47_4_14_vh,so,2
cz_wr_b2_18_8_14_nd,so,1
cz_wr_c2_19_12.5_14_vk,in the end,1
cz_wr_c2_27_23_14_vj,instead,1
de_wr_b1_22_11_13_ls,the next morning,1
de_wr_b1_22_11_13_ls,while,1
de_wr_b2_19_9_13_ia,the next day,1
de_wr_b2_23_21_13_lb,so,1
de_wr_b2_27_16_13_kk,after a while,1
de_wr_b2_27_16_13_kk,but,1
de_wr_b2_27_16_13_kk,while,1
de_wr_b2_52_11_13_re,the next day,1
de_wr_c1_19_10_13_cd,the next morning,1
de_wr_c1_19_12_14_kw,after all,1
de_wr_c1_19_12_14_kw,however,1
de_wr_c1_20_10_14_sb,finally,1
de_wr_c1_20_12_14_jk,in the meantime,1
de_wr_c1_20_12_14_jt,first,1
de_wr_c1_20_12_14_tz,however,1
de_wr_c1_20_12_14_vs,after,1
de_wr_c1_20_12_14_vs,after a while,1
de_wr_c1_20_12_14_vs,after that,1
de_wr_c1_20_12_14_vs,at first,1
de_wr_c1_20_12_14_vs,furthermore,1
de_wr_c1_21_11_13_sh,while,1
de_wr_c1_21_12_13_lj,the next day,1
de_wr_c1_21_12_14_mcn,due to,1
de_wr_c1_25_12_13_os,but,2
de_wr_c1_25_12_13_os,so,2
de_wr_c1_27_21_13_aa,and,1
de_wr_c2_19_10_13_js,but,1
de_wr_c2_19_11_14_ae,meanwhile,1
de_wr_c2_20_12_14_lg,in that moment,1
de_wr_c2_20_12_14_lg,just as,1
de_wr_c2_21_12_14_mcs,in the end,1
de_wr_c2_21_12_14_ml,meanwhile,1
de_wr_c2_24_11_13_lh,and,1
de_wr_c2_24_11_13_lh,but,1
de_wr_c2_25_15_14_kcf,but,1
de_wr_c2_25_15_14_kcf,eventually,1
de_wr_c2_25_15_14_kcf,in passing,1
de_wr_c2_25_15_14_kcf,in the end,1
de_wr_c2_41_8_13_na,in the end,1
es_wr_a1_13_5_13_jlmb,then,1
es_wr_a1_15_10_13_aln,and,1
es_wr_a1_16_10_13_esf,the next day,1
es_wr_a1_17_11_14_mps,finally,1
es_wr_a1_17_11_14_mps,later,2
es_wr_a1_21_12_3_agg,at first,1
es_wr_a1_21_12_3_agg,finally,1
es_wr_a1_21_18_13_vaj,so,1
es_wr_a1_22_11.5_14_fer,however,1
es_wr_a1_22_11.5_14_fer,therefore,1
es_wr_a1_22_12_14_rle,another,1
es_wr_a1_22_12_14_rle,finally,1
es_wr_a1_22_12_14_rle,later,1
es_wr_a1_22_12_14_rle,shortly,1
es_wr_a1_22_17_14_lp,finally,1
es_wr_a1_22_19_13_pcr,but,1
es_wr_a1_23_7_3_muf,then,1
es_wr_a1_26_13_3_nc,in the end,1
es_wr_a1_27_10_14_nr,then,1
es_wr_a1_35_12_14_pgc,finally,1
es_wr_a1_52_14_14_ihc,but,1
es_wr_a1_52_14_14_ihc,in fact,1
es_wr_a1_60_7_14_jgm,then,2
es_wr_a2_14_7_13_rgc,after,1
es_wr_a2_14_7_13_rgc,finally,1
es_wr_a2_15_12_13_bma,the following morning,1
es_wr_a2_16_8_13_rmo,after,1
es_wr_a2_16_9_13_mya,later,1
es_wr_a2_17_11_13_rcc,in the morning,1
es_wr_a2_17_14_13_ehs,but,1
es_wr_a2_17_9_13_fjqg,finally,1
es_wr_a2_18_11_13_alm,then,1
es_wr_a2_18_13_3_dgm,before,1
es_wr_a2_18_14_13_mcds,the next morning,1
es_wr_a2_18_14_3_acs,finally,1
es_wr_a2_18_8_14_ezs,after,1
es_wr_a2_19_10_3_zzb,finally,1
es_wr_a2_19_10_3_zzb,first of all,1
es_wr_a2_19_11_14_reg,later,1
es_wr_a2_19_11_3_crh,while,1
es_wr_a2_19_12_3_mst,however,1
es_wr_a2_19_13_3_fho,finally,1
es_wr_a2_19_14_14_idn,finally,1
es_wr_a2_19_17_3_mpm,but,1
es_wr_a2_19_2_13_ero,finally,1
es_wr_a2_19_2_13_ero,next,1
es_wr_a2_19_6_3_lpr,finally,1
es_wr_a2_19_6_3_lpr,later,1
es_wr_a2_19_7_3_pm,at first,1
es_wr_a2_19_7_3_pm,however,1
es_wr_a2_20_12_14_acg,but,1
es_wr_a2_20_13_3_lar,finally,1
es_wr_a2_20_14_3_mbd,to sum up,1
es_wr_a2_20_15_14_lcr,finally,1
es_wr_a2_20_15_14_lcr,then,1
es_wr_a2_20_15_3_imc,finally,1
es_wr_a2_20_17_14_avm,but,1
es_wr_a2_20_17_14_lgg,but,1
es_wr_a2_20_3_3_shp,in the end,1
es_wr_a2_20_4_14_lcg,again,1
es_wr_a2_20_4_14_lcg,so,1
es_wr_a2_20_7_14_cb,and,1
es_wr_a2_21_10_13_mdcbl,finally,1
es_wr_a2_21_15_13_etg,finally,1
es_wr_a2_21_16_3_lll,in conclusion,1
es_wr_a2_21_18_3_emap,finally,1
es_wr_a2_21_18_3_rmp,also,1
es_wr_a2_21_18_3_rmp,first,1
es_wr_a2_21_18_3_rmp,later,1
es_wr_a2_21_9_3_mcc,however,1
es_wr_a2_21_9_3_mcc,in the end,1
es_wr_a2_22_10_14_smc,after that,1
es_wr_a2_22_10_14_smc,then,1
es_wr_a2_22_15_13_rmv,first,1
es_wr_a2_22_15_13_rmv,so,1
es_wr_a2_22_15_13_rmv,then,1
es_wr_a2_23_10_3_arh,finally,1
es_wr_a2_23_4_14_b,after,1
es_wr_a2_23_4_14_b,therefore,1
es_wr_a2_23_4_14_b,while,1
es_wr_a2_23_8_3_mah,finally,1
es_wr_a2_24_10_3_cdr,in the end,1
es_wr_a2_24_10_3_ctc,ultimately,1
es_wr_a2_25_11_3_bb,after,1
es_wr_a2_25_1_14_ag,also,1
es_wr_a2_25_1_14_ag,finally,1
es_wr_a2_25_1_14_ag,first,1
es_wr_a2_25_1_14_ag,then,1
es_wr_a2_25_1_14_agm,also,1
es_wr_a2_25_1_14_agm,finally,1
es_wr_a2_25_1_14_agm,first,1
es_wr_a2_25_1_14_agm,then,1
es_wr_a2_26_10_14_isj,in the end,1
es_wr_a2_26_10_14_isj,then,1
es_wr_a2_26_10_14_jp,finally,1
es_wr_a2_26_10_3_emam,later,1
es_wr_a2_26_15_3_prp,finally,1
es_wr_a2_26_15_3_prp,however,1
es_wr_a2_30_24_3_imla,finally,1
es_wr_a2_33_1_3_abg,and,1
es_wr_a2_33_9_3_avg,overall,1
es_wr_a2_35_28_3_trc,and,1
es_wr_a2_37_3_14_bes,while,1
es_wr_a2_48_7_14_mg,first,1
es_wr_a2_48_7_14_mg,in this moment,1
es_wr_a2_48_7_14_mg,while,1
es_wr_a2_59_unknown_14_mab,then,1
es_wr_a2_60_5_3_iapl,but,1
es_wr_a2_62_40_14_jrg,then,1
es_wr_b1_15_11_13_spa,after,1
es_wr_b1_15_11_13_spa,at night,1
es_wr_b1_15_11_13_spa,in the morning,1
es_wr_b1_15_9_13_eag,after that,1
es_wr_b1_17_11_3_psr,finally,1
es_wr_b1_17_11_3_psr,while,1
es_wr_b1_18_10_14_jagv,after,1
es_wr_b1_18_10_14_jagv,eventually,1
es_wr_b1_18_10_3_jclm,but,1
es_wr_b1_18_12_13_mtr,but,1
es_wr_b1_18_12_14_ijq,because of,1
es_wr_b1_18_13_14_cgg,after,1
es_wr_b1_18_13_3_acd,through,1
es_wr_b1_18_13_3_lcf,after,1
es_wr_b1_18_14_13_sba,finally,1
es_wr_b1_18_14_14_arf,finally,1
es_wr_b1_18_14_14_arf,second,1
es_wr_b1_18_14_3_lrr,if,1
es_wr_b1_18_15_3_alc,through,1
es_wr_b1_18_15_3_ccv,at first,1
es_wr_b1_18_15_3_ccv,finally,1
es_wr_b1_18_15_3_lrr,and,1
es_wr_b1_18_15_3_mrv,finally,1
es_wr_b1_18_15_3_mrv,so,1
es_wr_b1_18_6_3_asm,finally,1
es_wr_b1_19_10_14_mro,without,1
es_wr_b1_19_11_13_ecl,next,1
es_wr_b1_19_11_13_ecl,then,1
es_wr_b1_19_11_13_irs,later,1
es_wr_b1_19_13_13_mph,the following day,1
es_wr_b1_19_13_14_am,later,1
es_wr_b1_19_13_3_cbr,but,1
es_wr_b1_19_13_3_cbr,therefore,1
es_wr_b1_19_13_3_ic,finally,1
es_wr_b1_19_13_3_rgb,finally,1
es_wr_b1_19_14_14_lrs,finally,1
es_wr_b1_19_14_3_cpl,so,1
es_wr_b1_19_15_3_ahp,finally,1
es_wr_b1_19_15_3_lsm,at night,1
es_wr_b1_19_15_3_r,however,1
es_wr_b1_19_15_3_r,in light of,1
es_wr_b1_19_16_3_apc,after,1
es_wr_b1_19_16_3_apc,but,1
es_wr_b1_20_10_13_ibf,finally,1
es_wr_b1_20_12_3_sos,after,1
es_wr_b1_20_14_13_npg,furthermore,1
es_wr_b1_20_14_13_npg,the next morning,1
es_wr_b1_20_14_14_asr,since,1
es_wr_b1_20_14_14_fmj,after,1
es_wr_b1_20_14_14_fmj,at this moment,1
es_wr_b1_20_14_14_fmj,because of this,1
es_wr_b1_20_14_14_fmj,finally,1
es_wr_b1_20_14_14_fmj,next,1
es_wr_b1_20_15_3_pmr,in conclusion,1
es_wr_b1_20_17_14_agm,finally,1
es_wr_b1_21_13_13_moc,however,1
es_wr_b1_21_13_13_pjl,finally,1
es_wr_b1_21_13_14_apt,first of all,1
es_wr_b1_21_15_3_bsm,in spite of that,1
es_wr_b1_21_15_3_spdlh,in light of,1
es_wr_b1_21_16_3_cmg,even though,1
es_wr_b1_21_16_3_cvm,in conclusion,1
es_wr_b1_21_16_3_mdm,in conclusion,1
es_wr_b1_21_16_3_mnl,consequently,1
es_wr_b1_21_17_13_al,finally,1
es_wr_b1_21_17_3_art,in fact,1
es_wr_b1_21_18_14_pjl,finally,1
es_wr_b1_21_6_3_arr,but,1
es_wr_b1_21_6_3_lgr,before,1
es_wr_b1_22_16_14_agg,later,1
es_wr_b1_22_16_3_jaa,finally,1
