text_id,macro_category,n_cases
cn_wr_b1_24_14_14_zy,Enhancement,1
cn_wr_b1_28_14_14_yxy,Enhancement,1
cn_wr_b2_26_17_14_js,Enhancement,1
cn_wr_c1_22_16_14_ihs,Enhancement,1
cz_wr_a2_18_8.5_14_al,Enhancement,3
cz_wr_a2_18_8.5_14_al,Extension,1
cz_wr_a2_18_9_14_kz,Enhancement,2
cz_wr_a2_19_13_14_vv,Enhancement,3
cz_wr_b1_20_14_14_at,Enhancement,1
cz_wr_b1_47_4_14_vh,Enhancement,3
cz_wr_b2_18_8_14_nd,Enhancement,1
cz_wr_c2_19_12.5_14_vk,Enhancement,1
cz_wr_c2_27_23_14_vj,Extension,1
de_wr_b1_22_11_13_ls,Enhancement,1
de_wr_b1_22_11_13_ls,Extension,1
de_wr_b2_19_9_13_ia,Enhancement,1
de_wr_b2_23_21_13_lb,Enhancement,1
de_wr_b2_27_16_13_kk,Enhancement,1
de_wr_b2_27_16_13_kk,Extension,2
de_wr_b2_52_11_13_re,Enhancement,1
de_wr_c1_19_10_13_cd,Enhancement,1
de_wr_c1_19_12_14_kw,Elaboration,1
de_wr_c1_19_12_14_kw,Extension,1
de_wr_c1_20_10_14_sb,Elaboration,1
de_wr_c1_20_12_14_jk,Enhancement,1
de_wr_c1_20_12_14_jt,Enhancement,1
de_wr_c1_20_12_14_tz,Extension,1
de_wr_c1_20_12_14_vs,Enhancement,4
de_wr_c1_20_12_14_vs,Extension,1
de_wr_c1_21_11_13_sh,Extension,1
de_wr_c1_21_12_13_lj,Enhancement,1
de_wr_c1_21_12_14_mcn,Enhancement,1
de_wr_c1_25_12_13_os,Enhancement,2
de_wr_c1_25_12_13_os,Extension,2
de_wr_c1_27_21_13_aa,Extension,1
de_wr_c2_19_10_13_js,Extension,1
de_wr_c2_19_11_14_ae,Enhancement,1
de_wr_c2_20_12_14_lg,Enhancement,2
de_wr_c2_21_12_14_mcs,Enhancement,1
de_wr_c2_21_12_14_ml,Enhancement,1
de_wr_c2_24_11_13_lh,Extension,2
de_wr_c2_25_15_14_kcf,Elaboration,1
de_wr_c2_25_15_14_kcf,Enhancement,2
de_wr_c2_25_15_14_kcf,Extension,1
de_wr_c2_41_8_13_na,Enhancement,1
es_wr_a1_13_5_13_jlmb,Enhancement,1
es_wr_a1_15_10_13_aln,Extension,1
es_wr_a1_16_10_13_esf,Enhancement,1
es_wr_a1_17_11_14_mps,Elaboration,1
es_wr_a1_17_11_14_mps,Enhancement,2
es_wr_a1_21_12_3_agg,Elaboration,1
es_wr_a1_21_12_3_agg,Enhancement,1
es_wr_a1_21_18_13_vaj,Enhancement,1
es_wr_a1_22_11.5_14_fer,Enhancement,1
es_wr_a1_22_11.5_14_fer,Extension,1
es_wr_a1_22_12_14_rle,Elaboration,1
es_wr_a1_22_12_14_rle,Enhancement,2
es_wr_a1_22_12_14_rle,Extension,1
es_wr_a1_22_17_14_lp,Elaboration,1
es_wr_a1_22_19_13_pcr,Extension,1
es_wr_a1_23_7_3_muf,Enhancement,1
es_wr_a1_26_13_3_nc,Enhancement,1
es_wr_a1_27_10_14_nr,Enhancement,1
es_wr_a1_35_12_14_pgc,Elaboration,1
es_wr_a1_52_14_14_ihc,Elaboration,1
es_wr_a1_52_14_14_ihc,Extension,1
es_wr_a1_60_7_14_jgm,Enhancement,2
es_wr_a2_14_7_13_rgc,Elaboration,1
es_wr_a2_14_7_13_rgc,Enhancement,1
es_wr_a2_15_12_13_bma,Enhancement,1
es_wr_a2_16_8_13_rmo,Enhancement,1
es_wr_a2_16_9_13_mya,Enhancement,1
es_wr_a2_17_11_13_rcc,Enhancement,1
es_wr_a2_17_14_13_ehs,Extension,1
es_wr_a2_17_9_13_fjqg,Elaboration,1
es_wr_a2_18_11_13_alm,Enhancement,1
es_wr_a2_18_13_3_dgm,Enhancement,1
es_wr_a2_18_14_13_mcds,Enhancement,1
es_wr_a2_18_14_3_acs,Elaboration,1
es_wr_a2_18_8_14_ezs,Enhancement,1
es_wr_a2_19_10_3_zzb,Elaboration,1
es_wr_a2_19_10_3_zzb,Enhancement,1
es_wr_a2_19_11_14_reg,Enhancement,1
es_wr_a2_19_11_3_crh,Extension,1
es_wr_a2_19_12_3_mst,Extension,1
es_wr_a2_19_13_3_fho,Elaboration,1
es_wr_a2_19_14_14_idn,Elaboration,1
es_wr_a2_19_17_3_mpm,Extension,1
es_wr_a2_19_2_13_ero,Elaboration,1
es_wr_a2_19_2_13_ero,Enhancement,1
es_wr_a2_19_6_3_lpr,Elaboration,1
