text_id,detected_item,n_cases
gig_1,even though,1
gig_1000e,although,1
gig_1001c,due to,1
gig_1001d,overall,1
gig_1001e,although,1
gig_1002a,if,3
gig_1002a,or,1
gig_1004,if,1
gig_1005c,first,1
gig_1007b,if,1
gig_100a,even though,1
gig_1010b,if,1
gig_1011,after,1
gig_1011,next,1
gig_1011,then,1
gig_1011,using,1
gig_1012,after,1
gig_1012,if,4
gig_1012,then,1
gig_1012,using,1
gig_1013,after,1
gig_1014b,if,4
gig_1014b,then,1
gig_1014c,or,1
gig_1015a,finally,1
gig_1015a,in addition,1
gig_1015a,in conclusion,1
gig_1015b,furthermore,1
gig_1015b,overall,1
gig_1015c,finally,1
gig_1015c,throughout,1
gig_1015d,overall,1
gig_1015d,throughout,1
gig_1015e,finally,1
gig_1015f,on the other hand,1
gig_1015g,however,1
gig_1015h,finally,1
gig_1015h,later,1
gig_1015i,or,1
gig_1015k,or,1
gig_1015l,in addition,1
gig_1015m,furthermore,1
gig_1015m,in addition,1
gig_1015n,finally,1
gig_1015n,throughout,1
gig_1015o,finally,1
gig_1015o,furthermore,1
gig_1015o,on the other hand,1
gig_1015o,that morning,1
gig_1015p,later on,1
gig_1015p,throughout,1
gig_1015q,another,1
gig_1015q,on the other hand,1
gig_1016a,however,1
gig_1016d,however,1
gig_1017e,another,1
gig_1017h,another,1
gig_1017h,moreover,1
gig_1017m,or,1
gig_1017p,ultimately,1
gig_1017q,lastly,1
gig_1018a,another,1
gig_1018b,or,1
gig_1018c,in reality,1
gig_1018e,another,1
gig_1018e,however,1
gig_1018e,in conclusion,1
gig_1019a,due to this,1
gig_1019a,moreover,1
gig_1019b,in addition,1
gig_1019d,another,1
gig_1019d,however,1
gig_1019d,to conclude,1
gig_1019e,also,1
gig_1019e,another,1
gig_1019e,throughout,1
gig_1019e,to conclude,1
gig_1019g,but,1
gig_1019h,another,1
gig_1019i,or,1
gig_1019l,also,1
gig_1019l,however,1
gig_1019m,also,1
gig_1019m,however,2
gig_101b,then,1
gig_101c,and,1
gig_101c,so,1
gig_1020a,however,1
gig_1020d,or,1
gig_1021b,or,1
gig_1022b,an hour later,1
gig_1022b,or,1
gig_1022c,throughout,1
gig_1022e,also,1
gig_1022g,also,1
gig_1022j,or,1
gig_1023a,finally,1
gig_1023b,or,1
gig_1023b,soon,1
gig_1023c,finally,1
gig_1023e,also,1
gig_1023g,also,1
gig_1023h,however,1
gig_1023i,if,1
gig_1023j,however,1
gig_1023k,however,1
gig_1023k,if,1
gig_1023k,once,1
gig_1023l,finally,1
gig_1023m,in contrast,1
gig_1023o,also,1
gig_1024a,throughout,1
gig_1024b,throughout,1
gig_1027a,to conclude,1
gig_1027d,to conclude,1
gig_1027e,if,1
gig_1028a,however,1
gig_1028b,therefore,1
gig_1029b,however,1
gig_1029b,in conclusion,1
gig_1029c,however,2
gig_1029e,if,1
gig_1029f,however,1
gig_1031a,to conclude,1
gig_1031b,also,1
gig_1031b,furthermore,1
gig_1031b,however,1
gig_1031b,to conclude,1
gig_1031c,moving forward,1
gig_1031c,to conclude,1
gig_1032a,in conclusion,1
gig_1032b,another,1
gig_1032b,however,1
gig_1032b,therefore,1
gig_1032c,another,1
gig_1032c,in conclusion,1
gig_1032d,if,1
gig_1033,another,2
gig_1033,however,1
gig_1033,in conclusion,1
gig_1034,in conclusion,1
gig_1034,on the other hand,1
gig_1035,another,1
gig_1035,however,1
gig_1036,another,1
gig_1036,in conclusion,1
gig_1036,on the other hand,1
gig_1037a,however,1
gig_1037a,in conclusion,1
gig_1037b,in conclusion,1
gig_1038a,however,1
gig_1038a,to conclude,1
gig_1039a,another,1
gig_1039a,in conclusion,1
gig_1039a,on the contrary,1
gig_1039b,on the contrary,1
gig_1039c,in conclusion,1
gig_1040,also,1
gig_1040,however,1
gig_1042c,also,1
gig_1042c,in conclusion,1
gig_1043b,since,1
gig_1044a,also,2
gig_1044a,another,4
gig_1044a,however,2
gig_1044a,in conclusion,1
gig_1044b,another,1
gig_1044b,for example,1
gig_1044c,if,1
gig_1045a,another,1
gig_1045a,overall,1
gig_1045b,however,1
gig_1045c,if,1
gig_1046c,if,2
gig_1047a,another,1
gig_1047a,therefore,1
gig_1049b,overall,1
gig_104a,that is,1
gig_1050a,if,1
gig_1050b,another,1
gig_1051b,then,1
gig_1051e,another,1
gig_1051e,as well as,2
