text_id,macro_category,n_cases
gig_1,Extension,1
gig_1000e,Extension,1
gig_1001c,Enhancement,1
gig_1001d,Elaboration,1
gig_1001e,Extension,1
gig_1002a,Enhancement,3
gig_1002a,Extension,1
gig_1004,Enhancement,1
gig_1005c,Enhancement,1
gig_1007b,Enhancement,1
gig_100a,Extension,1
gig_1010b,Enhancement,1
gig_1011,Enhancement,4
gig_1012,Enhancement,7
gig_1013,Enhancement,1
gig_1014b,Enhancement,5
gig_1014c,Extension,1
gig_1015a,Elaboration,2
gig_1015a,Extension,1
gig_1015b,Elaboration,1
gig_1015b,Extension,1
gig_1015c,Elaboration,1
gig_1015c,Enhancement,1
gig_1015d,Elaboration,1
gig_1015d,Enhancement,1
gig_1015e,Elaboration,1
gig_1015f,Extension,1
gig_1015g,Extension,1
gig_1015h,Elaboration,1
gig_1015h,Enhancement,1
gig_1015i,Extension,1
gig_1015k,Extension,1
gig_1015l,Extension,1
gig_1015m,Extension,2
gig_1015n,Elaboration,1
gig_1015n,Enhancement,1
gig_1015o,Elaboration,1
gig_1015o,Enhancement,1
gig_1015o,Extension,2
gig_1015p,Enhancement,2
gig_1015q,Extension,2
gig_1016a,Extension,1
gig_1016d,Extension,1
gig_1017e,Extension,1
gig_1017h,Extension,2
gig_1017m,Extension,1
gig_1017p,Elaboration,1
gig_1017q,Enhancement,1
gig_1018a,Extension,1
gig_1018b,Extension,1
gig_1018c,Elaboration,1
gig_1018e,Elaboration,1
gig_1018e,Extension,2
gig_1019a,Enhancement,1
gig_1019a,Extension,1
gig_1019b,Extension,1
gig_1019d,Elaboration,1
gig_1019d,Extension,2
gig_1019e,Elaboration,1
gig_1019e,Enhancement,1
gig_1019e,Extension,2
gig_1019g,Extension,1
gig_1019h,Extension,1
gig_1019i,Extension,1
gig_1019l,Extension,2
gig_1019m,Extension,3
gig_101b,Enhancement,1
gig_101c,Enhancement,1
gig_101c,Extension,1
gig_1020a,Extension,1
gig_1020d,Extension,1
gig_1021b,Extension,1
gig_1022b,Enhancement,1
gig_1022b,Extension,1
gig_1022c,Enhancement,1
gig_1022e,Extension,1
gig_1022g,Extension,1
gig_1022j,Extension,1
gig_1023a,Elaboration,1
gig_1023b,Enhancement,1
gig_1023b,Extension,1
gig_1023c,Elaboration,1
gig_1023e,Extension,1
gig_1023g,Extension,1
gig_1023h,Extension,1
gig_1023i,Enhancement,1
gig_1023j,Extension,1
gig_1023k,Enhancement,2
gig_1023k,Extension,1
gig_1023l,Elaboration,1
gig_1023m,Extension,1
gig_1023o,Extension,1
gig_1024a,Enhancement,1
gig_1024b,Enhancement,1
gig_1027a,Elaboration,1
gig_1027d,Elaboration,1
gig_1027e,Enhancement,1
gig_1028a,Extension,1
gig_1028b,Enhancement,1
gig_1029b,Elaboration,1
gig_1029b,Extension,1
gig_1029c,Extension,2
gig_1029e,Enhancement,1
gig_1029f,Extension,1
gig_1031a,Elaboration,1
gig_1031b,Elaboration,1
gig_1031b,Extension,3
gig_1031c,Elaboration,1
gig_1031c,Enhancement,1
gig_1032a,Elaboration,1
gig_1032b,Enhancement,1
gig_1032b,Extension,2
gig_1032c,Elaboration,1
gig_1032c,Extension,1
gig_1032d,Enhancement,1
gig_1033,Elaboration,1
gig_1033,Extension,3
gig_1034,Elaboration,1
gig_1034,Extension,1
gig_1035,Extension,2
gig_1036,Elaboration,1
gig_1036,Extension,2
gig_1037a,Elaboration,1
gig_1037a,Extension,1
gig_1037b,Elaboration,1
gig_1038a,Elaboration,1
gig_1038a,Extension,1
gig_1039a,Elaboration,1
gig_1039a,Extension,2
gig_1039b,Extension,1
gig_1039c,Elaboration,1
gig_1040,Extension,2
gig_1042c,Elaboration,1
gig_1042c,Extension,1
gig_1043b,Enhancement,1
gig_1044a,Elaboration,1
gig_1044a,Extension,8
gig_1044b,Elaboration,1
gig_1044b,Extension,1
gig_1044c,Enhancement,1
gig_1045a,Elaboration,1
gig_1045a,Extension,1
gig_1045b,Extension,1
gig_1045c,Enhancement,1
gig_1046c,Enhancement,2
gig_1047a,Enhancement,1
gig_1047a,Extension,1
gig_1049b,Elaboration,1
gig_104a,Elaboration,1
gig_1050a,Enhancement,1
gig_1050b,Extension,1
gig_1051b,Enhancement,1
gig_1051e,Elaboration,1
gig_1051e,Extension,3
gig_1051f,Extension,1
gig_1053b,Extension,1
gig_1053c,Elaboration,1
gig_1053c,Enhancement,1
gig_1053d,Extension,1
gig_1054b,Extension,1
gig_1054c,Enhancement,2
gig_1054c,Extension,3
gig_1054d,Extension,1
gig_1055a,Extension,2
gig_1055b,Elaboration,1
gig_1055b,Enhancement,1
gig_1055b,Extension,1
gig_1055c,Elaboration,2
gig_1055c,Enhancement,1
gig_1055d,Enhancement,1
gig_1055d,Extension,1
gig_1055e,Extension,1
gig_1055f,Extension,1
gig_1056b,Elaboration,1
gig_1056d,Enhancement,1
gig_1057c,Enhancement,1
gig_1057c,Extension,1
gig_1057f,Extension,1
gig_1058a,Enhancement,1
gig_1058b,Elaboration,1
gig_1058c,Elaboration,1
gig_1058c,Enhancement,2
gig_1059c,Enhancement,1
gig_1059e,Enhancement,1
gig_105b,Enhancement,7
gig_105b,Extension,2
gig_1060a,Enhancement,1
gig_1060c,Elaboration,1
gig_1060c,Extension,1
gig_1060f,Extension,1
gig_1061a,Enhancement,1
gig_1061a,Extension,1
gig_1061c,Elaboration,1
gig_1061c,Extension,1
gig_1061d,Enhancement,1
gig_1061f,Enhancement,1
gig_1062b,Elaboration,2
gig_1062c,Elaboration,1
gig_1062c,Extension,1
gig_1062e,Extension,1
gig_1063a,Enhancement,1
gig_1063b,Elaboration,1
gig_1063c,Elaboration,1
gig_1063c,Extension,2
gig_1064b,Elaboration,1
gig_1064c,Elaboration,1
gig_1064c,Extension,1
gig_1064d,Enhancement,1
gig_1066b,Elaboration,1
gig_1066c,Elaboration,1
gig_1066c,Extension,1
gig_1067b,Elaboration,1
gig_1067c,Enhancement,1
gig_1067d,Enhancement,1
gig_1067d,Extension,1
gig_1068a,Elaboration,1
gig_1068a,Enhancement,1
gig_1069a,Elaboration,1
gig_1069b,Extension,1
gig_1071,Elaboration,1
gig_1071,Extension,1
gig_1072a,Enhancement,1
gig_1072a,Extension,1
gig_1072b,Enhancement,2
gig_1073,Enhancement,4
gig_1074a,Elaboration,1
gig_1074a,Enhancement,2
gig_1074b,Elaboration,1
gig_1074b,Enhancement,1
gig_1074b,Extension,1
gig_1075a,Elaboration,1
gig_1075b,Enhancement,3
gig_1075b,Extension,1
gig_1076a,Extension,1
gig_1076b,Enhancement,1
gig_1076b,Extension,1
gig_1077a,Extension,1
gig_1077b,Elaboration,1
gig_1077b,Enhancement,1
gig_1078a,Elaboration,2
gig_1078b,Elaboration,1
gig_1078b,Extension,3
gig_1079,Elaboration,1
gig_1079,Enhancement,2
gig_107a,Enhancement,1
gig_107b,Enhancement,1
gig_1080a,Enhancement,1
gig_1080b,Elaboration,1
gig_1080b,Enhancement,2
gig_1080b,Extension,1
gig_1081,Elaboration,1
gig_1081,Enhancement,2
gig_1081,Extension,1
gig_1082a,Elaboration,1
gig_1082a,Enhancement,1
gig_1082a,Extension,3
gig_1083a,Elaboration,1
gig_1083a,Extension,1
gig_1083b,Elaboration,1
gig_1083b,Extension,1
gig_1084a,Enhancement,1
gig_1084a,Extension,1
gig_1084b,Enhancement,2
gig_1084b,Extension,1
gig_1085a,Elaboration,1
gig_1085a,Enhancement,3
gig_1085b,Elaboration,1
gig_1086,Elaboration,1
gig_1086,Enhancement,1
gig_1087a,Elaboration,1
gig_1087b,Elaboration,1
gig_1087b,Enhancement,1
gig_1087b,Extension,1
gig_1088a,Extension,2
gig_1088b,Elaboration,1
gig_1088b,Extension,6
gig_1089a,Elaboration,1
gig_1089a,Enhancement,2
gig_1089b,Elaboration,1
gig_1089b,Enhancement,2
gig_1090,Enhancement,1
gig_1090,Extension,1
gig_1091a,Extension,1
gig_1091f,Enhancement,1
gig_1092a,Extension,1
gig_1092b,Extension,1
gig_1092d,Extension,1
gig_1092e,Extension,1
gig_1093d,Extension,1
gig_1093e,Extension,1
gig_1095b,Extension,2
gig_1095c,Enhancement,1
gig_1095c,Extension,1
gig_1095d,Extension,2
gig_1095e,Extension,2
gig_1096b,Extension,1
gig_1096c,Enhancement,1
gig_1097b,Elaboration,1
gig_1097b,Extension,2
gig_1097d,Extension,3
gig_1097e,Elaboration,1
gig_1097f,Extension,1
gig_1098d,Extension,1
gig_1098e,Extension,1
gig_1098f,Enhancement,1
gig_1098f,Extension,1
gig_1099a,Extension,2
gig_1099c,Enhancement,1
gig_109a,Enhancement,2
gig_109b,Elaboration,1
gig_1101e,Extension,1
gig_1102d,Elaboration,1
gig_1102d,Enhancement,1
gig_1102e,Extension,1
gig_1102f,Enhancement,1
gig_1102f,Extension,1
gig_1103a,Extension,1
gig_1105a,Enhancement,1
gig_1105a,Extension,1
gig_1105c,Extension,1
gig_1105d,Extension,1
gig_1105f,Enhancement,1
gig_1106b,Extension,1
gig_1106c,Extension,1
gig_1106e,Elaboration,2
gig_1106e,Extension,2
gig_1108a,Enhancement,3
gig_1108f,Enhancement,1
gig_1109b,Extension,2
gig_1109d,Extension,3
gig_1109e,Enhancement,1
gig_1109e,Extension,1
gig_1110,Elaboration,1
gig_1110,Enhancement,1
gig_1111a,Enhancement,1
gig_1111b,Enhancement,2
gig_1112a,Extension,1
gig_1112b,Enhancement,1
gig_1115d,Enhancement,1
gig_1116b,Enhancement,2
gig_1118a,Extension,2
gig_1118c,Extension,1
gig_1118d,Elaboration,1
gig_1119c,Enhancement,1
gig_1119c,Extension,1
gig_1119g,Extension,1
gig_1120a,Extension,1
gig_1121b,Elaboration,1
gig_1121f,Extension,1
gig_1123a,Elaboration,1
gig_1124c,Elaboration,1
gig_1124d,Enhancement,1
gig_1125c,Elaboration,1
gig_1125c,Extension,1
gig_1126a,Elaboration,1
gig_1126a,Enhancement,1
gig_1127a,Elaboration,1
gig_1128c,Elaboration,1
gig_1128c,Extension,1
gig_1129f,Elaboration,1
gig_113,Elaboration,1
gig_113,Extension,1
gig_1130a,Elaboration,1
gig_1131c,Elaboration,1
gig_1132c,Elaboration,1
gig_1134d,Elaboration,1
gig_1135g,Extension,1
gig_1135h,Elaboration,1
gig_1135h,Extension,2
gig_1136a,Elaboration,1
gig_1136a,Extension,2
gig_1137c,Enhancement,1
gig_1137e,Elaboration,1
gig_1138a,Elaboration,1
gig_1138a,Extension,1
gig_1138b,Enhancement,1
gig_1138d,Extension,1
gig_1139a,Elaboration,1
gig_114,Elaboration,1
gig_114,Extension,1
gig_115,Extension,1
gig_116,Extension,2
gig_117,Elaboration,1
gig_117,Extension,1
gig_11b,Elaboration,1
gig_11b,Extension,1
gig_120,Elaboration,1
gig_121,Extension,1
gig_122,Elaboration,1
gig_122,Enhancement,1
gig_122,Extension,1
gig_123,Extension,1
gig_126,Extension,2
gig_128,Enhancement,2
gig_129,Elaboration,1
gig_129,Extension,1
gig_130,Enhancement,1
gig_132,Extension,1
gig_133,Elaboration,2
gig_133,Extension,1
gig_134,Extension,2
gig_135,Elaboration,2
gig_137,Enhancement,1
gig_139,Extension,3
gig_13b,Elaboration,1
gig_13b,Enhancement,2
gig_13c,Enhancement,1
gig_141,Enhancement,1
gig_142,Enhancement,1
gig_143,Enhancement,1
gig_144,Extension,1
gig_146,Elaboration,1
gig_148,Enhancement,1
gig_148,Extension,4
gig_149,Enhancement,1
gig_150,Enhancement,1
gig_154,Extension,1
gig_156,Extension,2
gig_157,Enhancement,1
gig_157,Extension,3
gig_158,Enhancement,1
gig_158,Extension,1
gig_159,Extension,1
gig_160,Enhancement,1
gig_160,Extension,1
gig_162,Extension,1
gig_165,Enhancement,1
gig_165,Extension,1
gig_166,Enhancement,1
gig_166,Extension,1
gig_168,Extension,1
gig_169,Elaboration,1
gig_169,Enhancement,2
gig_169,Extension,1
gig_16c,Enhancement,1
gig_170,Elaboration,1
gig_171,Elaboration,1
gig_171,Extension,1
gig_172,Extension,1
gig_175,Extension,1
gig_176,Enhancement,2
gig_177,Extension,1
gig_178,Elaboration,1
gig_179,Extension,1
gig_182,Extension,1
gig_185,Enhancement,1
gig_186,Extension,1
gig_187,Enhancement,1
gig_187,Extension,1
gig_189,Enhancement,1
gig_190,Enhancement,2
gig_190,Extension,1
gig_191,Extension,1
gig_193,Enhancement,2
gig_193,Extension,1
gig_196,Elaboration,1
gig_199,Enhancement,1
gig_2,Extension,1
gig_200,Enhancement,1
gig_202,Extension,1
gig_203,Enhancement,1
gig_204,Enhancement,1
gig_205,Enhancement,1
gig_207,Extension,1
gig_208,Enhancement,1
gig_208,Extension,1
gig_20c,Enhancement,1
gig_211,Enhancement,1
gig_214,Enhancement,2
gig_217,Enhancement,1
gig_219,Enhancement,1
gig_21a,Enhancement,1
gig_222,Enhancement,1
gig_223,Enhancement,1
gig_224,Enhancement,1
gig_228,Enhancement,1
gig_229,Enhancement,2
gig_229,Extension,1
gig_230,Enhancement,2
gig_231,Enhancement,1
gig_239,Enhancement,1
gig_244,Enhancement,1
gig_246,Enhancement,1
gig_246,Extension,2
gig_248,Enhancement,1
gig_252,Enhancement,1
gig_254,Enhancement,1
gig_258,Extension,1
gig_25d,Enhancement,2
gig_262,Extension,1
gig_264,Enhancement,1
gig_271,Enhancement,1
gig_272,Enhancement,1
gig_272,Extension,1
gig_273,Enhancement,1
gig_274,Enhancement,1
gig_284,Enhancement,1
gig_288,Extension,1
gig_290,Enhancement,1
gig_294,Enhancement,1
gig_294,Extension,1
gig_3,Elaboration,1
gig_3,Extension,3
gig_301,Enhancement,1
gig_301,Extension,1
gig_304,Elaboration,2
gig_304,Enhancement,2
gig_307,Extension,1
gig_308,Enhancement,1
gig_309,Enhancement,1
gig_310,Enhancement,1
gig_312,Enhancement,1
gig_313,Enhancement,1
gig_315f,Extension,1
gig_317c,Enhancement,6
gig_317e,Enhancement,1
gig_317j,Enhancement,2
gig_31b,Enhancement,2
gig_321a,Enhancement,1
gig_321c,Enhancement,2
gig_321d,Enhancement,2
gig_322c,Enhancement,4
gig_322c,Extension,1
gig_323a,Enhancement,1
gig_323c,Enhancement,3
gig_324a,Enhancement,1
gig_324c,Elaboration,1
gig_324c,Enhancement,8
gig_324e,Enhancement,4
gig_325c,Enhancement,6
gig_327a,Elaboration,1
gig_327a,Enhancement,2
gig_328b,Elaboration,1
gig_328c,Enhancement,1
gig_328d,Extension,1
gig_329c,Enhancement,1
gig_330d,Enhancement,1
gig_330e,Elaboration,1
gig_330f,Elaboration,1
gig_330f,Enhancement,3
gig_330f,Extension,1
gig_330g,Enhancement,4
gig_330g,Extension,3
gig_331b,Enhancement,2
gig_331b,Extension,9
gig_331c,Elaboration,2
gig_331c,Enhancement,3
gig_331d,Elaboration,1
gig_331d,Enhancement,2
gig_331f,Extension,2
gig_332d,Enhancement,3
gig_332g,Enhancement,2
gig_332g,Extension,11
gig_333a,Enhancement,2
gig_333b,Enhancement,1
gig_333e,Enhancement,1
gig_333f,Enhancement,1
gig_333g,Enhancement,1
gig_333g,Extension,1
gig_334b,Enhancement,1
gig_334c,Elaboration,1
gig_334c,Enhancement,1
gig_334f,Enhancement,2
gig_335a,Enhancement,1
gig_335d,Enhancement,1
gig_335e,Enhancement,1
gig_335e,Extension,1
gig_335f,Enhancement,2
gig_336d,Enhancement,1
gig_339a,Elaboration,1
gig_339b,Enhancement,1
gig_339b,Extension,3
gig_339c,Enhancement,1
gig_339e,Extension,1
gig_339i,Enhancement,1
gig_33a,Enhancement,1
gig_33b,Elaboration,1
gig_33b,Enhancement,2
gig_37a,Extension,1
gig_37b,Extension,1
gig_37c,Enhancement,3
gig_37d,Enhancement,1
gig_38b,Elaboration,1
gig_38c,Extension,1
gig_4,Extension,2
gig_42b,Enhancement,2
gig_43b,Enhancement,2
gig_440i,Elaboration,1
gig_440i,Enhancement,4
gig_440j,Enhancement,2
gig_441a,Extension,1
gig_441b,Enhancement,1
gig_441b,Extension,1
gig_441c,Enhancement,2
gig_441e,Extension,1
gig_441k,Elaboration,1
gig_441k,Enhancement,1
gig_441l,Enhancement,1
gig_442a,Enhancement,1
gig_442c,Enhancement,1
gig_442d,Elaboration,1
gig_442e,Enhancement,2
gig_442e,Extension,1
gig_443b,Extension,2
gig_443f,Extension,1
gig_443h,Enhancement,3
gig_444b,Enhancement,1
gig_444d,Enhancement,1
gig_444g,Enhancement,1
gig_444i,Enhancement,2
gig_444j,Enhancement,1
gig_444k,Enhancement,1
gig_445a,Enhancement,2
gig_445b,Extension,1
gig_445d,Enhancement,1
gig_445g,Enhancement,1
gig_445g,Extension,1
gig_445i,Enhancement,1
gig_446g,Enhancement,2
gig_446g,Extension,2
gig_447a,Enhancement,1
gig_447a,Extension,2
gig_447b,Enhancement,1
gig_447e,Enhancement,2
gig_447e,Extension,2
gig_447f,Enhancement,1
gig_447g,Enhancement,1
gig_447k,Enhancement,1
gig_448a,Enhancement,1
gig_448b,Extension,1
gig_448c,Enhancement,1
gig_448c,Extension,1
gig_448d,Enhancement,1
gig_448d,Extension,5
gig_448h,Enhancement,2
gig_448h,Extension,1
gig_448i,Enhancement,1
gig_448j,Elaboration,1
gig_448j,Enhancement,3
gig_448l,Enhancement,2
gig_449c,Enhancement,3
gig_449e,Enhancement,1
gig_449f,Enhancement,1
gig_449g,Enhancement,1
gig_450a,Extension,1
gig_450b,Extension,2
gig_450c,Extension,2
gig_450i,Enhancement,1
gig_450k,Enhancement,1
gig_451c,Enhancement,1
gig_451c,Extension,1
gig_451i,Enhancement,2
gig_452a,Enhancement,1
gig_452b,Extension,2
gig_452c,Enhancement,1
gig_452c,Extension,2
gig_452g,Enhancement,2
gig_452i,Extension,1
gig_453f,Enhancement,1
gig_454a,Enhancement,1
gig_454b,Enhancement,2
gig_454b,Extension,2
gig_454c,Enhancement,2
gig_454c,Extension,2
gig_454e,Extension,2
gig_454h,Enhancement,1
gig_454j,Enhancement,1
gig_454j,Extension,1
gig_454k,Enhancement,1
gig_455b,Extension,3
gig_455c,Enhancement,1
gig_455c,Extension,1
gig_455d,Enhancement,1
gig_455g,Enhancement,1
gig_455h,Enhancement,1
gig_456g,Enhancement,1
gig_457d,Enhancement,1
gig_457g,Enhancement,1
gig_457i,Enhancement,1
gig_458a,Enhancement,3
gig_458b,Enhancement,2
gig_458b,Extension,3
