text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
cn_wr_a1_24_11_14_jw,inter_sentential_v2,later,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.4129692832764507,293,parser_full_text
cn_wr_a2_19_10_14_y,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,2,6.779661016949152,295,parser_full_text
cn_wr_a2_19_10_14_y,inter_sentential_v2,later,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.389830508474576,295,parser_full_text
cn_wr_a2_20_12_14_lyl,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,3.0959752321981426,323,parser_full_text
cn_wr_a2_20_12_14_lyl,inter_sentential_v2,then,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,3.0959752321981426,323,parser_full_text
cn_wr_a2_23_17_14_d,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,1.3054830287206267,766,parser_full_text
cn_wr_a2_23_17_14_d,inter_sentential_v2,so,intersent_enh_caus_general,Enhancement,Causal-Conditional,General,,,,2,2.6109660574412534,766,parser_full_text
cn_wr_a2_23_17_14_xdm,inter_sentential_v2,finally,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,3.663003663003663,273,parser_full_text
cn_wr_a2_23_9_14_hyn,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,3.1948881789137378,313,parser_full_text
cn_wr_a2_23_9_14_hyn,inter_sentential_v2,in the end,intersent_enh_spatio_temporal_simple_concl,Enhancement,Spatio-temporal,Simple,Conclusive,,,1,3.1948881789137378,313,parser_full_text
cn_wr_a2_24_10_14_jwt,inter_sentential_v2,next,intersent_enh_spatio_temporal_simple_following,Enhancement,Spatio-temporal,Simple,Following,,,1,2.6246719160104988,381,parser_full_text
cn_wr_a2_24_14_14_jz,inter_sentential_v2,but,intersent_ext_adv,Extension,Adversative,,,,,1,3.105590062111801,322,parser_full_text
