text_id,detected_item,n_cases
cn_wr_a1_24_11_14_jw,later,1
cn_wr_a2_19_10_14_y,but,2
cn_wr_a2_19_10_14_y,later,1
cn_wr_a2_20_12_14_lyl,but,1
cn_wr_a2_20_12_14_lyl,then,1
cn_wr_a2_23_17_14_d,but,1
cn_wr_a2_23_17_14_d,so,2
cn_wr_a2_23_17_14_xdm,finally,1
cn_wr_a2_23_9_14_hyn,but,1
cn_wr_a2_23_9_14_hyn,in the end,1
cn_wr_a2_24_10_14_jwt,next,1
cn_wr_a2_24_14_14_jz,but,1
cn_wr_a2_24_14_14_jz,finally,1
cn_wr_a2_24_14_14_jz,so,1
cn_wr_a2_25_21_14_zw,after,1
cn_wr_a2_25_21_14_zw,at last,1
cn_wr_a2_25_21_14_zw,but,1
cn_wr_b1_19_12_14_zxy,at last,1
cn_wr_b1_19_12_14_zxy,then,2
cn_wr_b1_20_11_14_pjy,but,1
cn_wr_b1_20_11_14_pjy,in the end,1
cn_wr_b1_20_11_14_pjy,so,4
cn_wr_b1_21_17_14_jlh,at the same time,1
cn_wr_b1_21_17_14_jlh,but,1
cn_wr_b1_21_17_14_jlh,then,1
cn_wr_b1_21_18_14_myc,in the end,1
cn_wr_b1_21_18_14_myc,then,1
cn_wr_b1_21_8_14_gyw,but,1
cn_wr_b1_21_8_14_gyw,so,3
cn_wr_b1_22_13_14_cxy,after,1
cn_wr_b1_22_13_14_cxy,later,1
cn_wr_b1_22_14_14_hym,after,1
cn_wr_b1_22_14_14_hym,but,2
cn_wr_b1_22_14_14_hym,coincidentally,1
cn_wr_b1_22_14_14_hym,so,2
cn_wr_b1_22_14_14_hym,then,1
cn_wr_b1_23_17_14_cjx,after a while,1
cn_wr_b1_23_17_14_cjx,at the same time,1
cn_wr_b1_23_17_14_cjx,however,1
cn_wr_b1_23_17_14_cjx,then,1
cn_wr_b1_23_17_14_cjx,unfortunately,1
cn_wr_b1_23_17_14_tan,also,1
cn_wr_b1_23_17_14_tan,but,2
cn_wr_b1_23_17_14_tan,finally,1
cn_wr_b1_23_17_14_tan,meanwhile,1
cn_wr_b1_24_10_14_jy,after,1
cn_wr_b1_24_10_14_jy,but,2
cn_wr_b1_24_10_14_jy,so,2
cn_wr_b1_24_10_14_jy,while,1
cn_wr_b1_24_14_14_zy,lastly,1
cn_wr_b1_24_15_14_yd,so,1
cn_wr_b1_24_15_14_yd,then,1
cn_wr_b1_25_12_14_gj,but,1
cn_wr_b1_25_12_14_gj,finally,1
cn_wr_b1_25_12_14_gj,while,1
cn_wr_b1_28_14_14_yxy,however,1
cn_wr_b1_30_10_14_zqm,but,1
cn_wr_b1_30_10_14_zqm,in the end,1
cn_wr_b1_30_10_14_zqm,so,2
cn_wr_b1_30_12_14_hyw,at last,1
cn_wr_b1_30_27_14_wyh,so,1
cn_wr_b1_31_21_14_w,but,1
cn_wr_b1_31_21_14_w,finally,1
cn_wr_b1_31_21_14_w,so,1
cn_wr_b1_32_14_14_sh,but,2
cn_wr_b1_32_14_14_sh,in the end,1
cn_wr_b1_32_14_14_sh,so,2
cn_wr_b1_34_8_14_gy,then,1
cn_wr_b2_16_8_14_s,in the end,1
cn_wr_b2_20_11_14_wj,at the same time,1
cn_wr_b2_20_11_14_wj,however,1
cn_wr_b2_20_11_14_wj,in the end,1
cn_wr_b2_20_8_14_lx,afterwards,1
cn_wr_b2_20_8_14_lx,but,1
cn_wr_b2_20_8_14_lx,finally,1
cn_wr_b2_20_8_14_lx,later,1
cn_wr_b2_20_8_14_lx,so,2
cn_wr_b2_20_9_14_czr,after,1
cn_wr_b2_20_9_14_czr,at last,1
cn_wr_b2_21_11_14_yn,but,1
cn_wr_b2_21_11_14_yn,first,1
cn_wr_b2_21_11_14_yn,then,1
cn_wr_b2_21_14_14_ly,finally,1
cn_wr_b2_22_18_14_yj,but,1
cn_wr_b2_22_18_14_yj,first,1
cn_wr_b2_23_14_14_zhb,after,1
cn_wr_b2_24_12_14_shy,in the end,1
cn_wr_b2_24_12_14_shy,then,1
cn_wr_b2_24_15_14_wh,but,1
cn_wr_b2_24_15_14_wh,then,1
cn_wr_b2_24_17_14_yz,first,1
