text_id,macro_category,n_cases
cn_wr_a1_24_11_14_jw,Enhancement,1
cn_wr_a2_19_10_14_y,Enhancement,1
cn_wr_a2_19_10_14_y,Extension,2
cn_wr_a2_20_12_14_lyl,Enhancement,1
cn_wr_a2_20_12_14_lyl,Extension,1
cn_wr_a2_23_17_14_d,Enhancement,2
cn_wr_a2_23_17_14_d,Extension,1
cn_wr_a2_23_17_14_xdm,Enhancement,1
cn_wr_a2_23_9_14_hyn,Enhancement,1
cn_wr_a2_23_9_14_hyn,Extension,1
cn_wr_a2_24_10_14_jwt,Enhancement,1
cn_wr_a2_24_14_14_jz,Enhancement,2
cn_wr_a2_24_14_14_jz,Extension,1
cn_wr_a2_25_21_14_zw,Enhancement,2
cn_wr_a2_25_21_14_zw,Extension,1
cn_wr_b1_19_12_14_zxy,Enhancement,3
cn_wr_b1_20_11_14_pjy,Enhancement,5
cn_wr_b1_20_11_14_pjy,Extension,1
cn_wr_b1_21_17_14_jlh,Enhancement,2
cn_wr_b1_21_17_14_jlh,Extension,1
cn_wr_b1_21_18_14_myc,Enhancement,2
cn_wr_b1_21_8_14_gyw,Enhancement,3
cn_wr_b1_21_8_14_gyw,Extension,1
cn_wr_b1_22_13_14_cxy,Enhancement,2
cn_wr_b1_22_14_14_hym,Enhancement,5
cn_wr_b1_22_14_14_hym,Extension,2
cn_wr_b1_23_17_14_cjx,Enhancement,4
cn_wr_b1_23_17_14_cjx,Extension,1
cn_wr_b1_23_17_14_tan,Enhancement,2
cn_wr_b1_23_17_14_tan,Extension,3
cn_wr_b1_24_10_14_jy,Enhancement,3
cn_wr_b1_24_10_14_jy,Extension,3
cn_wr_b1_24_14_14_zy,Enhancement,1
cn_wr_b1_24_15_14_yd,Enhancement,2
cn_wr_b1_25_12_14_gj,Enhancement,1
cn_wr_b1_25_12_14_gj,Extension,2
cn_wr_b1_28_14_14_yxy,Extension,1
cn_wr_b1_30_10_14_zqm,Enhancement,3
cn_wr_b1_30_10_14_zqm,Extension,1
cn_wr_b1_30_12_14_hyw,Enhancement,1
cn_wr_b1_30_27_14_wyh,Enhancement,1
cn_wr_b1_31_21_14_w,Enhancement,2
