text_id,detected_item,n_cases
efcamdat_100000,maybe,1
efcamdat_100001,because of,1
efcamdat_100002,then,1
efcamdat_1000046,but,1
efcamdat_1000064,so,1
efcamdat_1000076,finally,1
efcamdat_1000076,first,1
efcamdat_1000076,next,1
efcamdat_1000076,that is,1
efcamdat_100013,later,1
efcamdat_100017,since,1
efcamdat_100025,if,1
efcamdat_1000255,besides,1
efcamdat_1000255,but,1
efcamdat_1000255,moreover,1
efcamdat_100026,so,2
efcamdat_100027,but,1
efcamdat_100027,if,1
efcamdat_100029,but,1
efcamdat_1000302,then,1
efcamdat_1000318,after,1
efcamdat_100032,after,1
efcamdat_100032,then,1
efcamdat_1000325,maybe,2
efcamdat_1000342,in addition,1
efcamdat_1000343,finally,1
efcamdat_1000360,then,1
efcamdat_1000364,so,1
efcamdat_100037,but,1
efcamdat_100037,if,1
efcamdat_1000374,but,1
efcamdat_1000414,if,2
efcamdat_1000414,in case,1
efcamdat_1000418,additionally,1
efcamdat_1000418,after,1
efcamdat_1000418,lastly,1
efcamdat_1000462,then,1
efcamdat_1000471,if,1
efcamdat_1000486,next,1
efcamdat_1000541,because,1
efcamdat_1000541,before,1
efcamdat_100055,next,1
efcamdat_1000562,if,1
efcamdat_1000613,after,1
efcamdat_100064,finally,1
efcamdat_100064,if,1
efcamdat_100065,finally,1
efcamdat_100065,first,1
efcamdat_1000657,but,2
efcamdat_1000665,so,1
efcamdat_1000667,then,1
efcamdat_100070,finally,1
efcamdat_1000804,so,1
efcamdat_1000890,then,1
efcamdat_1000949,in the morning,1
efcamdat_1000971,so,1
efcamdat_1001030,after,1
efcamdat_1001055,if,1
efcamdat_1001056,but,2
efcamdat_1001056,however,1
efcamdat_1001059,but,1
efcamdat_1001087,next,1
efcamdat_1001152,finally,1
efcamdat_1001152,first,1
efcamdat_1001152,next,1
efcamdat_1001159,but,1
efcamdat_1001159,unfortunately,1
efcamdat_1001174,that is,1
efcamdat_1001206,so,1
efcamdat_1001214,then,1
efcamdat_1001233,but,1
efcamdat_1001309,in that,1
efcamdat_100142,then,1
efcamdat_1001447,finally,1
efcamdat_1001447,first,1
efcamdat_100145,after,1
efcamdat_100145,finally,1
efcamdat_100145,fortunately,1
efcamdat_100146,if,1
efcamdat_1001569,also,1
efcamdat_1001588,but,1
efcamdat_1001588,so,1
efcamdat_1001589,in the morning,1
efcamdat_100160,but,1
