text_id,macro_category,n_cases
efcamdat_100000,Elaboration,1
efcamdat_100001,Enhancement,1
efcamdat_100002,Enhancement,1
efcamdat_1000046,Extension,1
efcamdat_1000064,Enhancement,1
efcamdat_1000076,Elaboration,1
efcamdat_1000076,Enhancement,3
efcamdat_100013,Enhancement,1
efcamdat_100017,Enhancement,1
efcamdat_100025,Enhancement,1
efcamdat_1000255,Extension,3
efcamdat_100026,Enhancement,2
efcamdat_100027,Enhancement,1
efcamdat_100027,Extension,1
efcamdat_100029,Extension,1
efcamdat_1000302,Enhancement,1
efcamdat_1000318,Enhancement,1
efcamdat_100032,Enhancement,2
efcamdat_1000325,Elaboration,2
efcamdat_1000342,Extension,1
efcamdat_1000343,Enhancement,1
efcamdat_1000360,Enhancement,1
efcamdat_1000364,Enhancement,1
efcamdat_100037,Enhancement,1
efcamdat_100037,Extension,1
efcamdat_1000374,Extension,1
efcamdat_1000414,Enhancement,3
efcamdat_1000418,Enhancement,2
efcamdat_1000418,Extension,1
efcamdat_1000462,Enhancement,1
efcamdat_1000471,Enhancement,1
efcamdat_1000486,Enhancement,1
efcamdat_1000541,Enhancement,2
efcamdat_100055,Enhancement,1
efcamdat_1000562,Enhancement,1
efcamdat_1000613,Enhancement,1
efcamdat_100064,Enhancement,2
efcamdat_100065,Enhancement,2
efcamdat_1000657,Extension,2
efcamdat_1000665,Enhancement,1
efcamdat_1000667,Enhancement,1
efcamdat_100070,Enhancement,1
efcamdat_1000804,Enhancement,1
efcamdat_1000890,Enhancement,1
efcamdat_1000949,Enhancement,1
efcamdat_1000971,Enhancement,1
efcamdat_1001030,Enhancement,1
efcamdat_1001055,Enhancement,1
efcamdat_1001056,Extension,3
efcamdat_1001059,Extension,1
efcamdat_1001087,Enhancement,1
efcamdat_1001152,Enhancement,3
efcamdat_1001159,Enhancement,1
efcamdat_1001159,Extension,1
efcamdat_1001174,Elaboration,1
efcamdat_1001206,Enhancement,1
efcamdat_1001214,Enhancement,1
efcamdat_1001233,Extension,1
efcamdat_1001309,Enhancement,1
efcamdat_100142,Enhancement,1
efcamdat_1001447,Enhancement,2
efcamdat_100145,Enhancement,3
efcamdat_100146,Enhancement,1
efcamdat_1001569,Extension,1
efcamdat_1001588,Enhancement,1
efcamdat_1001588,Extension,1
efcamdat_1001589,Enhancement,1
efcamdat_100160,Enhancement,1
efcamdat_100160,Extension,1
efcamdat_100161,Enhancement,1
efcamdat_100161,Extension,1
efcamdat_1001636,Enhancement,1
efcamdat_100166,Extension,1
efcamdat_10017,Enhancement,1
efcamdat_100174,Enhancement,1
efcamdat_1001750,Enhancement,1
efcamdat_1001754,Enhancement,1
efcamdat_1001756,Enhancement,1
efcamdat_1001757,Enhancement,3
efcamdat_1001759,Elaboration,1
efcamdat_100176,Enhancement,1
efcamdat_1001761,Enhancement,1
efcamdat_1001761,Extension,1
efcamdat_1001762,Enhancement,2
efcamdat_100177,Elaboration,1
efcamdat_100177,Extension,1
efcamdat_100178,Extension,1
efcamdat_100181,Extension,1
efcamdat_100182,Enhancement,4
efcamdat_100183,Extension,1
efcamdat_1001834,Enhancement,1
efcamdat_1001837,Enhancement,1
efcamdat_1001837,Extension,1
efcamdat_100184,Elaboration,1
efcamdat_100185,Enhancement,1
efcamdat_100187,Enhancement,1
efcamdat_100188,Elaboration,1
efcamdat_100188,Extension,2
efcamdat_100189,Extension,1
efcamdat_100190,Enhancement,1
efcamdat_100191,Elaboration,1
efcamdat_100191,Enhancement,1
efcamdat_1001925,Extension,1
efcamdat_1001963,Enhancement,1
efcamdat_1001963,Extension,1
efcamdat_1001968,Elaboration,1
efcamdat_1001968,Enhancement,2
efcamdat_1001968,Extension,2
efcamdat_1001970,Extension,1
efcamdat_1001975,Extension,1
efcamdat_100199,Enhancement,1
efcamdat_100200,Elaboration,1
efcamdat_100203,Enhancement,1
efcamdat_100204,Enhancement,3
efcamdat_100207,Elaboration,1
efcamdat_100207,Enhancement,3
efcamdat_100208,Enhancement,1
efcamdat_1002090,Enhancement,2
efcamdat_100212,Enhancement,1
efcamdat_100213,Enhancement,2
efcamdat_1002134,Enhancement,1
efcamdat_1002135,Extension,1
efcamdat_1002139,Enhancement,1
efcamdat_1002139,Extension,1
efcamdat_100214,Enhancement,2
efcamdat_1002140,Enhancement,4
efcamdat_1002140,Extension,1
efcamdat_100215,Enhancement,2
efcamdat_100216,Enhancement,1
efcamdat_1002168,Enhancement,1
efcamdat_100217,Elaboration,1
efcamdat_100217,Enhancement,1
efcamdat_100218,Enhancement,1
efcamdat_100219,Enhancement,1
efcamdat_100220,Elaboration,1
efcamdat_100220,Enhancement,1
efcamdat_1002277,Enhancement,1
efcamdat_1002281,Enhancement,1
efcamdat_1002309,Enhancement,2
efcamdat_1002330,Enhancement,1
efcamdat_10024,Enhancement,1
efcamdat_100247,Enhancement,1
efcamdat_100249,Elaboration,1
efcamdat_100251,Enhancement,2
efcamdat_1002523,Enhancement,1
efcamdat_1002523,Extension,1
efcamdat_1002596,Enhancement,2
efcamdat_1002600,Enhancement,1
efcamdat_1002600,Extension,1
efcamdat_1002640,Enhancement,1
efcamdat_1002655,Enhancement,1
efcamdat_1002751,Enhancement,2
efcamdat_1002755,Enhancement,1
efcamdat_1002755,Extension,1
efcamdat_1002761,Extension,2
efcamdat_1002762,Enhancement,1
efcamdat_1002766,Enhancement,3
efcamdat_1002841,Enhancement,1
efcamdat_1002843,Enhancement,1
efcamdat_1002843,Extension,1
efcamdat_1002845,Extension,1
efcamdat_1002848,Elaboration,1
efcamdat_1002866,Enhancement,1
efcamdat_1002901,Extension,1
efcamdat_1002999,Enhancement,1
efcamdat_1003000,Enhancement,2
efcamdat_1003058,Extension,1
efcamdat_1003076,Extension,1
efcamdat_1003146,Elaboration,1
efcamdat_1003158,Enhancement,1
efcamdat_1003181,Enhancement,2
efcamdat_1003183,Enhancement,1
efcamdat_1003214,Enhancement,1
efcamdat_1003231,Enhancement,1
efcamdat_100344,Extension,1
efcamdat_1003490,Enhancement,1
efcamdat_1003490,Extension,1
efcamdat_1003494,Enhancement,1
efcamdat_1003707,Extension,1
efcamdat_1003925,Enhancement,1
efcamdat_1003926,Enhancement,1
efcamdat_1003928,Enhancement,1
efcamdat_1003930,Enhancement,1
efcamdat_100394,Enhancement,2
efcamdat_100396,Enhancement,1
efcamdat_100397,Elaboration,1
efcamdat_1004,Enhancement,1
efcamdat_100400,Elaboration,1
efcamdat_100400,Enhancement,1
efcamdat_100404,Enhancement,3
efcamdat_100405,Enhancement,1
efcamdat_100405,Extension,1
efcamdat_100406,Enhancement,1
efcamdat_100407,Enhancement,2
efcamdat_1004134,Enhancement,1
efcamdat_100415,Enhancement,1
efcamdat_100417,Extension,1
efcamdat_1004323,Extension,1
efcamdat_100436,Enhancement,1
efcamdat_100452,Enhancement,1
efcamdat_1004728,Extension,1
efcamdat_1004752,Enhancement,1
efcamdat_1004753,Enhancement,1
efcamdat_1004753,Extension,1
efcamdat_100487,Extension,1
efcamdat_1004894,Enhancement,1
efcamdat_100496,Enhancement,1
efcamdat_1005088,Enhancement,1
efcamdat_100511,Enhancement,1
efcamdat_100513,Extension,1
efcamdat_100515,Enhancement,1
efcamdat_100520,Extension,1
efcamdat_100522,Enhancement,1
efcamdat_100539,Enhancement,1
efcamdat_100549,Enhancement,1
efcamdat_100550,Enhancement,2
efcamdat_100554,Enhancement,3
efcamdat_100555,Enhancement,1
efcamdat_100559,Enhancement,1
efcamdat_100560,Extension,1
efcamdat_100563,Enhancement,3
efcamdat_100568,Elaboration,2
efcamdat_100568,Extension,1
efcamdat_100569,Enhancement,1
efcamdat_100569,Extension,1
efcamdat_1005963,Enhancement,1
efcamdat_1005963,Extension,1
efcamdat_1005971,Enhancement,1
efcamdat_100627,Enhancement,1
efcamdat_100635,Enhancement,2
efcamdat_100635,Extension,1
efcamdat_100638,Enhancement,1
efcamdat_100642,Enhancement,1
efcamdat_1006543,Enhancement,1
efcamdat_1006544,Enhancement,2
efcamdat_1006545,Enhancement,3
efcamdat_10066,Enhancement,4
efcamdat_10067,Enhancement,3
efcamdat_100684,Enhancement,1
efcamdat_1006850,Enhancement,4
efcamdat_100687,Enhancement,1
efcamdat_100691,Enhancement,4
efcamdat_100695,Enhancement,3
efcamdat_100703,Enhancement,1
efcamdat_100705,Elaboration,1
efcamdat_100705,Enhancement,2
efcamdat_100707,Extension,1
efcamdat_100708,Enhancement,3
efcamdat_100709,Enhancement,1
efcamdat_100718,Enhancement,1
efcamdat_1007351,Enhancement,1
efcamdat_1007357,Extension,2
efcamdat_1007389,Extension,1
efcamdat_100748,Extension,1
efcamdat_100755,Enhancement,1
efcamdat_100757,Enhancement,1
efcamdat_100758,Enhancement,1
efcamdat_100758,Extension,1
efcamdat_100763,Enhancement,2
efcamdat_1007640,Enhancement,2
efcamdat_1007640,Extension,2
efcamdat_1007738,Enhancement,1
efcamdat_1007738,Extension,1
efcamdat_1007851,Elaboration,1
efcamdat_1007906,Enhancement,1
efcamdat_1007908,Elaboration,1
efcamdat_1007908,Extension,1
efcamdat_1007919,Enhancement,2
efcamdat_1007921,Extension,1
efcamdat_1007922,Enhancement,2
efcamdat_100797,Enhancement,1
efcamdat_100797,Extension,1
efcamdat_10080,Extension,1
efcamdat_100814,Extension,1
efcamdat_100823,Enhancement,1
efcamdat_1008255,Enhancement,2
efcamdat_100826,Enhancement,2
efcamdat_100826,Extension,1
efcamdat_100835,Enhancement,1
efcamdat_1008395,Enhancement,1
efcamdat_10084,Enhancement,1
efcamdat_10084,Extension,1
efcamdat_10086,Enhancement,1
efcamdat_10086,Extension,1
efcamdat_100874,Extension,1
efcamdat_1008772,Enhancement,1
efcamdat_10088,Extension,1
efcamdat_100889,Enhancement,1
