text_id,detected_item,n_cases
gig_1,but,1
gig_1,even though,1
gig_1,furthermore,1
gig_1,in fact,1
gig_1,perhaps,1
gig_1000d,after,1
gig_1000d,however,2
gig_1000e,although,1
gig_1001c,due to,1
gig_1001d,after,1
gig_1001d,because,1
gig_1001e,although,1
gig_1001e,however,1
gig_1002a,if,5
gig_1002a,or,1
gig_1002b,then,1
gig_1004,if,1
gig_1004,once,1
gig_1005b,if,1
gig_1005b,then,1
gig_1005c,first,1
gig_1005c,if,5
gig_1005c,then,1
gig_1006b,after,1
gig_1006b,for example,1
gig_1007a,if,1
gig_1007a,if not,1
gig_1007b,if,1
gig_1007b,therefore,1
gig_1009,however,1
gig_1009,meaning,1
gig_1009,therefore,1
gig_100a,also,1
gig_100a,but,3
gig_100b,just then,1
gig_1010a,although,1
gig_1010a,finally,2
gig_1010a,for example,1
gig_1010a,however,2
gig_1010a,next,2
gig_1010a,thus,2
gig_1010b,for example,1
gig_1010b,however,1
gig_1010b,if,2
gig_1010b,on the other hand,1
gig_1010b,using,1
gig_1010c,after,1
gig_1010c,thus,1
gig_1011,after,1
gig_1011,however,1
gig_1011,next,1
gig_1011,results,1
gig_1011,then,2
gig_1012,after,1
gig_1012,if,6
gig_1012,then,1
gig_1012,using,1
gig_1013,after,1
gig_1013,however,1
gig_1014a,but,1
gig_1014a,further,1
gig_1014b,if,3
gig_1014b,the next day,1
gig_1014b,then,2
gig_1014c,or,1
gig_1015a,although,1
gig_1015a,finally,1
gig_1015a,for example,1
gig_1015a,furthermore,2
gig_1015a,however,1
gig_1015a,in addition,1
gig_1015a,in conclusion,1
gig_1015a,instead,1
gig_1015b,furthermore,1
gig_1015b,however,2
gig_1015b,on the other hand,1
gig_1015c,finally,1
gig_1015c,however,1
gig_1015c,throughout,1
gig_1015d,furthermore,2
gig_1015d,however,2
gig_1015d,throughout,1
gig_1015e,finally,1
gig_1015e,furthermore,1
gig_1015e,in addition,2
gig_1015f,however,1
gig_1015f,on the other hand,1
gig_1015g,however,1
gig_1015g,that is,1
gig_1015g,therefore,1
gig_1015h,finally,1
gig_1015h,for example,1
gig_1015h,later,1
gig_1015i,however,2
gig_1015j,furthermore,1
gig_1015k,after all,1
gig_1015k,although,2
gig_1015k,however,1
gig_1015k,meanwhile,1
gig_1015l,in addition,1
gig_1015m,for example,1
gig_1015m,furthermore,1
gig_1015m,however,1
gig_1015m,in addition,1
gig_1015m,on the other hand,1
gig_1015m,whilst,1
gig_1015n,after,1
gig_1015n,finally,1
gig_1015n,throughout,1
gig_1015o,although,1
gig_1015o,finally,1
gig_1015o,for example,1
gig_1015o,furthermore,1
gig_1015o,in addition,1
gig_1015o,in conclusion,1
gig_1015o,on the other hand,1
gig_1015p,for example,1
gig_1015p,later,1
gig_1015p,throughout,1
gig_1015q,later,1
gig_1015q,on the other hand,1
gig_1016a,after all,1
gig_1016a,however,1
gig_1016b,due to,1
gig_1016c,whatever,1
gig_1016d,however,1
gig_1016d,whereas,1
gig_1017a,even though,1
gig_1017a,however,1
gig_1017b,but,1
gig_1017b,later,1
gig_1017b,through,1
gig_1017c,but,1
gig_1017f,because,1
gig_1017f,nevertheless,1
gig_1017f,so,1
gig_1017f,that is,1
gig_1017f,then,1
gig_1017g,ultimately,1
gig_1017h,despite,1
gig_1017h,for example,1
gig_1017h,moreover,1
gig_1017h,not once,1
gig_1017h,through,1
gig_1017i,on the other hand,1
gig_1017j,but,2
gig_1017j,furthermore,1
gig_1017k,because,1
gig_1017k,earlier,1
gig_1017k,however,1
gig_1017m,again,1
gig_1017n,but,1
gig_1017n,however,1
gig_1017n,in other words,1
gig_1017o,consequently,1
gig_1017o,for example,1
gig_1017o,therefore,1
gig_1017p,ultimately,1
gig_1017q,furthermore,1
gig_1017q,lastly,1
gig_1017t,but,1
gig_1017u,however,1
gig_1018a,also,2
gig_1018a,for example,1
gig_1018b,instead,1
gig_1018c,all in all,1
gig_1018c,if,1
gig_1018c,in reality,1
gig_1018c,so,1
gig_1018d,after,1
gig_1018d,then,1
gig_1018e,also,3
gig_1018e,due to,1
gig_1018e,however,3
gig_1018e,in conclusion,1
gig_1019a,also,3
gig_1019a,due to,1
gig_1019a,instead,1
gig_1019a,moreover,1
gig_1019a,so,1
gig_1019b,also,1
gig_1019b,however,1
gig_1019b,in addition,1
gig_1019b,yet,1
gig_1019d,again,1
gig_1019d,however,1
gig_1019d,later,1
gig_1019d,throughout,2
gig_1019d,to conclude,1
gig_1019e,also,1
gig_1019e,but,1
gig_1019e,later,1
gig_1019e,or,1
gig_1019e,throughout,1
gig_1019e,to conclude,1
gig_1019g,but,2
gig_1019h,again,1
gig_1019i,first,1
gig_1019k,however,1
gig_1019l,also,1
gig_1019l,however,1
gig_1019m,also,1
gig_1019m,however,2
gig_101b,then,1
gig_101c,so,1
gig_1020a,but,2
gig_1020a,however,1
gig_1020a,on the other hand,1
gig_1020b,if,1
gig_1020c,also,1
gig_1020c,using,1
gig_1020e,however,1
gig_1020f,but,1
gig_1020f,using,1
gig_1020g,consider,1
gig_1020i,whatever,1
gig_1020l,also,1
gig_1021a,also,1
gig_1021c,but,2
gig_1021c,further,1
gig_1021c,later,1
gig_1021d,however,2
gig_1021d,later,1
gig_1021e,also,1
gig_1022a,also,1
gig_1022b,an hour later,1
gig_1022b,but,1
gig_1022b,if,1
gig_1022c,in the end,1
gig_1022c,once,1
