text_id,macro_category,n_cases
gig_1,Elaboration,2
gig_1,Extension,3
gig_1000d,Enhancement,1
gig_1000d,Extension,2
gig_1000e,Extension,1
gig_1001c,Enhancement,1
gig_1001d,Enhancement,2
gig_1001e,Extension,2
gig_1002a,Enhancement,5
gig_1002a,Extension,1
gig_1002b,Enhancement,1
gig_1004,Enhancement,2
gig_1005b,Enhancement,2
gig_1005c,Enhancement,7
gig_1006b,Elaboration,1
gig_1006b,Enhancement,1
gig_1007a,Enhancement,1
gig_1007a,Extension,1
gig_1007b,Enhancement,2
gig_1009,Elaboration,1
gig_1009,Enhancement,1
gig_1009,Extension,1
gig_100a,Extension,4
gig_100b,Enhancement,1
gig_1010a,Elaboration,1
gig_1010a,Enhancement,6
gig_1010a,Extension,3
gig_1010b,Elaboration,1
gig_1010b,Enhancement,3
gig_1010b,Extension,2
gig_1010c,Enhancement,2
gig_1011,Enhancement,5
gig_1011,Extension,1
gig_1012,Enhancement,9
gig_1013,Enhancement,1
gig_1013,Extension,1
gig_1014a,Extension,2
gig_1014b,Enhancement,6
gig_1014c,Extension,1
gig_1015a,Elaboration,2
gig_1015a,Enhancement,1
gig_1015a,Extension,6
gig_1015b,Extension,4
gig_1015c,Enhancement,2
gig_1015c,Extension,1
gig_1015d,Enhancement,1
gig_1015d,Extension,4
gig_1015e,Enhancement,1
gig_1015e,Extension,3
gig_1015f,Extension,2
gig_1015g,Elaboration,1
gig_1015g,Enhancement,1
gig_1015g,Extension,1
gig_1015h,Elaboration,1
gig_1015h,Enhancement,2
gig_1015i,Extension,2
gig_1015j,Extension,1
gig_1015k,Elaboration,1
gig_1015k,Enhancement,1
gig_1015k,Extension,3
gig_1015l,Extension,1
gig_1015m,Elaboration,1
gig_1015m,Extension,5
gig_1015n,Enhancement,3
gig_1015o,Elaboration,2
gig_1015o,Enhancement,1
gig_1015o,Extension,4
gig_1015p,Elaboration,1
gig_1015p,Enhancement,2
gig_1015q,Enhancement,1
gig_1015q,Extension,1
gig_1016a,Elaboration,1
gig_1016a,Extension,1
gig_1016b,Enhancement,1
gig_1016c,Elaboration,1
gig_1016d,Extension,2
gig_1017a,Extension,2
gig_1017b,Enhancement,2
gig_1017b,Extension,1
gig_1017c,Extension,1
gig_1017f,Elaboration,1
gig_1017f,Enhancement,3
gig_1017f,Extension,1
gig_1017g,Elaboration,1
gig_1017h,Elaboration,1
gig_1017h,Enhancement,2
gig_1017h,Extension,2
gig_1017i,Extension,1
gig_1017j,Extension,3
gig_1017k,Enhancement,2
gig_1017k,Extension,1
gig_1017m,Enhancement,1
gig_1017n,Elaboration,1
gig_1017n,Extension,2
gig_1017o,Elaboration,1
gig_1017o,Enhancement,2
gig_1017p,Elaboration,1
gig_1017q,Enhancement,1
gig_1017q,Extension,1
gig_1017t,Extension,1
gig_1017u,Extension,1
gig_1018a,Elaboration,1
gig_1018a,Extension,2
