text_id,detected_item,n_cases
cn_wr_a1_24_11_14_jw,and,2
cn_wr_a1_24_11_14_jw,where,2
cn_wr_a1_24_13_14_lcx,and,1
cn_wr_a1_24_13_14_lcx,so,1
cn_wr_a1_24_13_14_lcx,when,2
cn_wr_a1_24_13_14_lcx,where,2
cn_wr_a2_19_10_14_y,then,1
cn_wr_a2_19_10_14_y,when,1
cn_wr_a2_19_10_14_y,where,2
cn_wr_a2_20_12_14_lyl,so,2
cn_wr_a2_20_12_14_lyl,where,2
cn_wr_a2_23_13_14_whd,but,1
cn_wr_a2_23_13_14_whd,where,2
cn_wr_a2_23_17_14_d,after,5
cn_wr_a2_23_17_14_d,and,1
cn_wr_a2_23_17_14_d,before,1
cn_wr_a2_23_17_14_d,but,2
cn_wr_a2_23_17_14_d,just as,1
cn_wr_a2_23_17_14_d,once,1
cn_wr_a2_23_17_14_d,so,3
cn_wr_a2_23_17_14_d,still,1
cn_wr_a2_23_17_14_d,when,2
cn_wr_a2_23_17_14_d,where,3
cn_wr_a2_23_17_14_d,whether,1
cn_wr_a2_23_17_14_xdm,and,2
cn_wr_a2_23_17_14_xdm,but,1
cn_wr_a2_23_17_14_xdm,so,1
cn_wr_a2_23_17_14_xdm,where,2
cn_wr_a2_23_9_14_hyn,when,1
cn_wr_a2_23_9_14_hyn,where,3
cn_wr_a2_24_10_14_jwt,but,3
cn_wr_a2_24_10_14_jwt,so,4
cn_wr_a2_24_10_14_jwt,then,1
cn_wr_a2_24_10_14_jwt,when,2
cn_wr_a2_24_10_14_jwt,where,2
cn_wr_a2_24_14_14_jz,then,1
cn_wr_a2_24_14_14_jz,where,2
cn_wr_a2_24_6_14_cjl,but,1
cn_wr_a2_24_6_14_cjl,so,1
cn_wr_a2_24_6_14_cjl,where,2
cn_wr_a2_25_21_14_zw,and,1
cn_wr_a2_25_21_14_zw,but,1
cn_wr_a2_25_21_14_zw,once,1
cn_wr_a2_25_21_14_zw,so,2
cn_wr_a2_25_21_14_zw,where,3
cn_wr_a2_30_12_14_hyw,and,1
cn_wr_a2_30_12_14_hyw,but,1
cn_wr_a2_30_12_14_hyw,when,1
cn_wr_a2_30_12_14_hyw,where,2
cn_wr_b1_18_12_14_ljj,because,1
cn_wr_b1_18_12_14_ljj,but,1
cn_wr_b1_18_12_14_ljj,thus,1
cn_wr_b1_18_12_14_ljj,when,1
cn_wr_b1_18_12_14_ljj,where,2
cn_wr_b1_19_12_14_zxy,because,1
cn_wr_b1_19_12_14_zxy,but,1
cn_wr_b1_19_12_14_zxy,however,1
cn_wr_b1_19_12_14_zxy,so,1
cn_wr_b1_19_12_14_zxy,where,2
cn_wr_b1_20_11_14_pjy,in which,1
cn_wr_b1_20_11_14_pjy,so,3
cn_wr_b1_20_11_14_pjy,so that,1
cn_wr_b1_20_11_14_pjy,where,3
cn_wr_b1_20_11_14_pjy,while,1
cn_wr_b1_21_12_14_yjj,after,1
cn_wr_b1_21_12_14_yjj,when,2
cn_wr_b1_21_12_14_yjj,where,2
cn_wr_b1_21_17_14_jlh,after,1
cn_wr_b1_21_17_14_jlh,and,1
cn_wr_b1_21_17_14_jlh,but,2
cn_wr_b1_21_17_14_jlh,then,1
cn_wr_b1_21_17_14_jlh,where,2
cn_wr_b1_21_18_14_myc,at the same time,1
cn_wr_b1_21_18_14_myc,but,2
cn_wr_b1_21_18_14_myc,earlier,1
cn_wr_b1_21_18_14_myc,so,5
cn_wr_b1_21_18_14_myc,where,2
cn_wr_b1_21_8_14_gyw,and,1
cn_wr_b1_21_8_14_gyw,when,1
cn_wr_b1_21_8_14_gyw,where,2
cn_wr_b1_22_13_14_cxy,after,1
cn_wr_b1_22_13_14_cxy,but,1
cn_wr_b1_22_13_14_cxy,where,2
cn_wr_b1_22_14_14_hym,and,1
cn_wr_b1_22_14_14_hym,so,2
cn_wr_b1_22_14_14_hym,when,1
cn_wr_b1_22_14_14_hym,where,2
cn_wr_b1_23_17_14_cjx,and,5
cn_wr_b1_23_17_14_cjx,before,1
cn_wr_b1_23_17_14_cjx,since,1
cn_wr_b1_23_17_14_cjx,so,3
cn_wr_b1_23_17_14_cjx,so that,1
cn_wr_b1_23_17_14_cjx,where,2
cn_wr_b1_23_17_14_tan,so,1
cn_wr_b1_23_17_14_tan,where,2
cn_wr_b1_24_10_14_jy,but,1
cn_wr_b1_24_10_14_jy,where,3
cn_wr_b1_24_14_14_zy,where,2
cn_wr_b1_24_14_14_zy,while,2
cn_wr_b1_24_15_14_yd,so,1
cn_wr_b1_24_15_14_yd,then,3
cn_wr_b1_24_15_14_yd,where,2
cn_wr_b1_25_12_14_gj,although,1
cn_wr_b1_25_12_14_gj,and,2
cn_wr_b1_25_12_14_gj,so,2
cn_wr_b1_25_12_14_gj,when,2
cn_wr_b1_25_12_14_gj,where,3
cn_wr_b1_28_14_14_yxy,and there,1
cn_wr_b1_28_14_14_yxy,if,1
cn_wr_b1_28_14_14_yxy,where,3
cn_wr_b1_28_23_14_xyy,and,1
cn_wr_b1_28_23_14_xyy,but,2
cn_wr_b1_28_23_14_xyy,so,2
cn_wr_b1_28_23_14_xyy,where,2
cn_wr_b1_30_10_14_zqm,and,2
cn_wr_b1_30_10_14_zqm,because,1
cn_wr_b1_30_10_14_zqm,but,1
cn_wr_b1_30_10_14_zqm,once,1
cn_wr_b1_30_10_14_zqm,where,2
cn_wr_b1_30_12_14_hyw,afterwards,1
cn_wr_b1_30_12_14_hyw,but,2
cn_wr_b1_30_12_14_hyw,meanwhile,1
cn_wr_b1_30_12_14_hyw,where,2
cn_wr_b1_30_12_14_hyw,while,1
cn_wr_b1_30_27_14_wyh,after,2
cn_wr_b1_30_27_14_wyh,where,2
cn_wr_b1_31_21_14_w,when,2
cn_wr_b1_31_21_14_w,where,2
cn_wr_b1_32_14_14_sh,so,1
cn_wr_b1_32_14_14_sh,then,1
cn_wr_b1_32_14_14_sh,thus,1
cn_wr_b1_32_14_14_sh,when,2
cn_wr_b1_32_14_14_sh,where,2
cn_wr_b1_32_20_14_fbc,and,2
cn_wr_b1_32_20_14_fbc,then,1
cn_wr_b1_32_20_14_fbc,where,2
cn_wr_b1_34_8_14_gy,after,1
cn_wr_b1_34_8_14_gy,and,1
cn_wr_b1_34_8_14_gy,away from,1
cn_wr_b1_34_8_14_gy,but,1
cn_wr_b1_34_8_14_gy,however,1
cn_wr_b1_34_8_14_gy,once,1
cn_wr_b1_34_8_14_gy,so,2
cn_wr_b1_34_8_14_gy,when,1
cn_wr_b1_34_8_14_gy,where,3
cn_wr_b2_16_8_14_s,after,1
cn_wr_b2_16_8_14_s,however,1
cn_wr_b2_16_8_14_s,where,2
cn_wr_b2_20_11_14_wj,and,1
cn_wr_b2_20_11_14_wj,as soon as,1
cn_wr_b2_20_11_14_wj,because,1
cn_wr_b2_20_11_14_wj,in which,1
cn_wr_b2_20_11_14_wj,meanwhile,1
cn_wr_b2_20_11_14_wj,once,1
cn_wr_b2_20_11_14_wj,so,2
cn_wr_b2_20_11_14_wj,that is,1
cn_wr_b2_20_11_14_wj,when,2
cn_wr_b2_20_11_14_wj,where,3
cn_wr_b2_20_8_14_lx,when,1
cn_wr_b2_20_8_14_lx,where,2
cn_wr_b2_20_9_14_czr,but,1
cn_wr_b2_20_9_14_czr,so,1
cn_wr_b2_20_9_14_czr,when,1
cn_wr_b2_20_9_14_czr,where,2
cn_wr_b2_21_11_14_yn,then,1
cn_wr_b2_21_11_14_yn,where,2
cn_wr_b2_21_14_14_ly,after,1
cn_wr_b2_21_14_14_ly,when,1
cn_wr_b2_21_14_14_ly,where,2
cn_wr_b2_22_10_14_lm,but,1
cn_wr_b2_22_10_14_lm,so,1
cn_wr_b2_22_10_14_lm,where,2
cn_wr_b2_22_18_14_yj,and,2
cn_wr_b2_22_18_14_yj,so,3
cn_wr_b2_22_18_14_yj,that is,1
cn_wr_b2_22_18_14_yj,where,2
cn_wr_b2_23_14_14_zhb,still,1
cn_wr_b2_23_14_14_zhb,where,2
cn_wr_b2_23_15_14_xw,and,1
cn_wr_b2_23_15_14_xw,if,1
cn_wr_b2_23_15_14_xw,when,2
cn_wr_b2_23_15_14_xw,where,2
cn_wr_b2_24_12_14_shy,after,1
cn_wr_b2_24_12_14_shy,and,1
cn_wr_b2_24_12_14_shy,because,1
