text_id,macro_category,n_cases
cn_wr_a1_24_11_14_jw,Enhancement,2
cn_wr_a1_24_11_14_jw,Extension,2
cn_wr_a1_24_13_14_lcx,Enhancement,5
cn_wr_a1_24_13_14_lcx,Extension,1
cn_wr_a2_19_10_14_y,Enhancement,4
cn_wr_a2_20_12_14_lyl,Enhancement,4
cn_wr_a2_23_13_14_whd,Enhancement,2
cn_wr_a2_23_13_14_whd,Extension,1
cn_wr_a2_23_17_14_d,Enhancement,17
cn_wr_a2_23_17_14_d,Extension,4
cn_wr_a2_23_17_14_xdm,Enhancement,3
cn_wr_a2_23_17_14_xdm,Extension,3
cn_wr_a2_23_9_14_hyn,Enhancement,4
cn_wr_a2_24_10_14_jwt,Enhancement,9
cn_wr_a2_24_10_14_jwt,Extension,3
cn_wr_a2_24_14_14_jz,Enhancement,3
cn_wr_a2_24_6_14_cjl,Enhancement,3
cn_wr_a2_24_6_14_cjl,Extension,1
cn_wr_a2_25_21_14_zw,Enhancement,6
cn_wr_a2_25_21_14_zw,Extension,2
cn_wr_a2_30_12_14_hyw,Enhancement,3
cn_wr_a2_30_12_14_hyw,Extension,2
cn_wr_b1_18_12_14_ljj,Enhancement,5
cn_wr_b1_18_12_14_ljj,Extension,1
cn_wr_b1_19_12_14_zxy,Enhancement,5
cn_wr_b1_19_12_14_zxy,Extension,1
cn_wr_b1_20_11_14_pjy,Enhancement,9
cn_wr_b1_21_12_14_yjj,Enhancement,5
cn_wr_b1_21_17_14_jlh,Enhancement,4
cn_wr_b1_21_17_14_jlh,Extension,3
cn_wr_b1_21_18_14_myc,Enhancement,9
cn_wr_b1_21_18_14_myc,Extension,2
cn_wr_b1_21_8_14_gyw,Enhancement,3
cn_wr_b1_21_8_14_gyw,Extension,1
cn_wr_b1_22_13_14_cxy,Enhancement,3
cn_wr_b1_22_13_14_cxy,Extension,1
cn_wr_b1_22_14_14_hym,Enhancement,5
cn_wr_b1_22_14_14_hym,Extension,1
cn_wr_b1_23_17_14_cjx,Enhancement,8
cn_wr_b1_23_17_14_cjx,Extension,5
cn_wr_b1_23_17_14_tan,Enhancement,3
cn_wr_b1_24_10_14_jy,Enhancement,3
cn_wr_b1_24_10_14_jy,Extension,1
cn_wr_b1_24_14_14_zy,Enhancement,4
cn_wr_b1_24_15_14_yd,Enhancement,6
cn_wr_b1_25_12_14_gj,Enhancement,8
cn_wr_b1_25_12_14_gj,Extension,2
cn_wr_b1_28_14_14_yxy,Enhancement,5
cn_wr_b1_28_23_14_xyy,Enhancement,4
cn_wr_b1_28_23_14_xyy,Extension,3
cn_wr_b1_30_10_14_zqm,Enhancement,4
cn_wr_b1_30_10_14_zqm,Extension,3
cn_wr_b1_30_12_14_hyw,Enhancement,5
cn_wr_b1_30_12_14_hyw,Extension,2
cn_wr_b1_30_27_14_wyh,Enhancement,4
cn_wr_b1_31_21_14_w,Enhancement,4
cn_wr_b1_32_14_14_sh,Enhancement,7
cn_wr_b1_32_20_14_fbc,Enhancement,3
cn_wr_b1_32_20_14_fbc,Extension,2
cn_wr_b1_34_8_14_gy,Enhancement,10
cn_wr_b1_34_8_14_gy,Extension,2
cn_wr_b2_16_8_14_s,Enhancement,4
cn_wr_b2_20_11_14_wj,Elaboration,1
