text_id,taxis,n_cases
cn_wr_a1_24_11_14_jw,hypotactic,2
cn_wr_a1_24_11_14_jw,paratactic,2
cn_wr_a1_24_13_14_lcx,hypotactic,4
cn_wr_a1_24_13_14_lcx,paratactic,2
cn_wr_a2_19_10_14_y,hypotactic,3
cn_wr_a2_19_10_14_y,paratactic,1
cn_wr_a2_20_12_14_lyl,hypotactic,2
cn_wr_a2_20_12_14_lyl,paratactic,2
cn_wr_a2_23_13_14_whd,hypotactic,2
cn_wr_a2_23_13_14_whd,paratactic,1
cn_wr_a2_23_17_14_d,hypotactic,14
cn_wr_a2_23_17_14_d,paratactic,7
cn_wr_a2_23_17_14_xdm,hypotactic,2
cn_wr_a2_23_17_14_xdm,paratactic,4
cn_wr_a2_23_9_14_hyn,hypotactic,4
cn_wr_a2_24_10_14_jwt,hypotactic,4
cn_wr_a2_24_10_14_jwt,paratactic,8
cn_wr_a2_24_14_14_jz,hypotactic,2
cn_wr_a2_24_14_14_jz,paratactic,1
cn_wr_a2_24_6_14_cjl,hypotactic,2
cn_wr_a2_24_6_14_cjl,paratactic,2
cn_wr_a2_25_21_14_zw,hypotactic,4
cn_wr_a2_25_21_14_zw,paratactic,4
cn_wr_a2_30_12_14_hyw,hypotactic,3
cn_wr_a2_30_12_14_hyw,paratactic,2
cn_wr_b1_18_12_14_ljj,hypotactic,4
cn_wr_b1_18_12_14_ljj,paratactic,2
cn_wr_b1_19_12_14_zxy,hypotactic,3
cn_wr_b1_19_12_14_zxy,paratactic,3
cn_wr_b1_20_11_14_pjy,hypotactic,6
cn_wr_b1_20_11_14_pjy,paratactic,3
cn_wr_b1_21_12_14_yjj,hypotactic,5
cn_wr_b1_21_17_14_jlh,hypotactic,3
cn_wr_b1_21_17_14_jlh,paratactic,4
cn_wr_b1_21_18_14_myc,hypotactic,2
cn_wr_b1_21_18_14_myc,paratactic,9
cn_wr_b1_21_8_14_gyw,hypotactic,3
cn_wr_b1_21_8_14_gyw,paratactic,1
cn_wr_b1_22_13_14_cxy,hypotactic,3
cn_wr_b1_22_13_14_cxy,paratactic,1
cn_wr_b1_22_14_14_hym,hypotactic,3
cn_wr_b1_22_14_14_hym,paratactic,3
cn_wr_b1_23_17_14_cjx,hypotactic,5
cn_wr_b1_23_17_14_cjx,paratactic,8
cn_wr_b1_23_17_14_tan,hypotactic,2
cn_wr_b1_23_17_14_tan,paratactic,1
cn_wr_b1_24_10_14_jy,hypotactic,3
cn_wr_b1_24_10_14_jy,paratactic,1
cn_wr_b1_24_14_14_zy,hypotactic,4
cn_wr_b1_24_15_14_yd,hypotactic,2
cn_wr_b1_24_15_14_yd,paratactic,4
cn_wr_b1_25_12_14_gj,hypotactic,6
cn_wr_b1_25_12_14_gj,paratactic,4
cn_wr_b1_28_14_14_yxy,hypotactic,4
cn_wr_b1_28_14_14_yxy,paratactic,1
cn_wr_b1_28_23_14_xyy,hypotactic,2
cn_wr_b1_28_23_14_xyy,paratactic,5
cn_wr_b1_30_10_14_zqm,hypotactic,4
cn_wr_b1_30_10_14_zqm,paratactic,3
cn_wr_b1_30_12_14_hyw,hypotactic,3
cn_wr_b1_30_12_14_hyw,paratactic,4
cn_wr_b1_30_27_14_wyh,hypotactic,4
cn_wr_b1_31_21_14_w,hypotactic,4
cn_wr_b1_32_14_14_sh,hypotactic,4
cn_wr_b1_32_14_14_sh,paratactic,3
cn_wr_b1_32_20_14_fbc,hypotactic,2
cn_wr_b1_32_20_14_fbc,paratactic,3
cn_wr_b1_34_8_14_gy,hypotactic,7
cn_wr_b1_34_8_14_gy,paratactic,5
cn_wr_b2_16_8_14_s,hypotactic,3
cn_wr_b2_16_8_14_s,paratactic,1
cn_wr_b2_20_11_14_wj,hypotactic,9
cn_wr_b2_20_11_14_wj,paratactic,5
cn_wr_b2_20_8_14_lx,hypotactic,3
cn_wr_b2_20_9_14_czr,hypotactic,3
cn_wr_b2_20_9_14_czr,paratactic,2
cn_wr_b2_21_11_14_yn,hypotactic,2
cn_wr_b2_21_11_14_yn,paratactic,1
cn_wr_b2_21_14_14_ly,hypotactic,4
cn_wr_b2_22_10_14_lm,hypotactic,2
cn_wr_b2_22_10_14_lm,paratactic,2
cn_wr_b2_22_18_14_yj,hypotactic,2
cn_wr_b2_22_18_14_yj,paratactic,6
cn_wr_b2_23_14_14_zhb,hypotactic,2
cn_wr_b2_23_14_14_zhb,paratactic,1
cn_wr_b2_23_15_14_xw,hypotactic,5
cn_wr_b2_23_15_14_xw,paratactic,1
cn_wr_b2_24_12_14_shy,hypotactic,5
cn_wr_b2_24_12_14_shy,paratactic,1
cn_wr_b2_24_15_14_wh,hypotactic,5
cn_wr_b2_24_15_14_wh,paratactic,4
cn_wr_b2_24_17_14_yz,hypotactic,5
cn_wr_b2_24_18_14_qhs,hypotactic,5
cn_wr_b2_24_18_14_qhs,paratactic,2
cn_wr_b2_24_8_14_lsx,hypotactic,3
cn_wr_b2_24_8_14_lsx,paratactic,4
cn_wr_b2_26_17_14_js,hypotactic,9
cn_wr_b2_26_7_14_el,hypotactic,2
cn_wr_b2_26_7_14_el,paratactic,1
cn_wr_b2_27_17_14_xy,hypotactic,5
cn_wr_b2_27_17_14_xy,paratactic,2
cn_wr_b2_28_15_14_zkh,hypotactic,2
cn_wr_b2_28_15_14_zkh,paratactic,2
cn_wr_b2_29_20_14_xh,hypotactic,3
cn_wr_b2_29_20_14_xh,paratactic,1
cn_wr_b2_29_9_14_zrx,hypotactic,3
cn_wr_b2_29_9_14_zrx,paratactic,3
cn_wr_b2_30_22_14_mh,hypotactic,5
cn_wr_b2_30_22_14_mh,paratactic,5
cn_wr_b2_34_17_14_ww,hypotactic,5
cn_wr_b2_34_17_14_ww,paratactic,1
cn_wr_c1_20_13_14_lc,hypotactic,4
cn_wr_c1_20_13_14_lc,paratactic,1
cn_wr_c1_21_15_14_cyw,hypotactic,5
cn_wr_c1_21_15_14_cyw,paratactic,4
cn_wr_c1_21_9_14_hx,hypotactic,4
cn_wr_c1_21_9_14_hx,paratactic,2
cn_wr_c1_22_16_14_ihs,hypotactic,14
cn_wr_c1_22_16_14_ihs,paratactic,5
