text_id,detected_item,n_cases
gig_1,actually,1
gig_1,after,3
gig_1,and,2
gig_1,but,1
gig_1,however,1
gig_1,if,2
gig_1,though,1
gig_1000a,via,1
gig_1000b,and,1
gig_1000b,as,2
gig_1000b,because,4
gig_1000c,after,2
gig_1000c,as,1
gig_1000c,because,2
gig_1000c,before,1
gig_1000c,however,1
gig_1000d,as,1
gig_1000d,at which,1
gig_1000d,when,1
gig_1000e,and,1
gig_1000e,as,2
gig_1000e,because,1
gig_1000e,if,2
gig_1001a,and,1
gig_1001a,as,1
gig_1001a,because,1
gig_1001a,so,1
gig_1001c,after,1
gig_1001c,and,1
gig_1001c,because,1
gig_1001c,before,1
gig_1001c,until,1
gig_1001d,at which,1
gig_1001d,however,1
gig_1001d,so,1
gig_1001e,as,2
gig_1001e,because,1
gig_1001e,if,1
gig_1002a,away from,1
gig_1002a,before,1
gig_1002a,if,4
gig_1002a,in case,1
gig_1002a,still,1
gig_1002a,then,1
gig_1002b,because,1
gig_1002b,where,1
gig_1003,and,1
gig_1003,as,1
gig_1003,but,1
gig_1003,so,2
gig_1003,such as,1
gig_1004,if,4
gig_1004,still,1
gig_1004,when,2
gig_1005a,after,1
gig_1005a,so,1
gig_1005b,as,1
gig_1005b,before,1
gig_1005b,where,1
gig_1005c,and there,2
gig_1005c,as,1
gig_1005c,but not,1
gig_1005c,if,4
gig_1005c,once,2
gig_1005c,such as,2
gig_1005c,then,1
gig_1005c,where,1
gig_1005c,whether,2
gig_1006a,and,3
gig_1006a,as,1
gig_1006a,because,1
gig_1006a,but,2
gig_1006a,so,1
gig_1006a,when,2
gig_1006a,where,1
gig_1006b,and so,1
gig_1006b,because,1
gig_1006b,until,1
gig_1006b,when,1
gig_1007a,e.g.,1
gig_1007a,if,1
gig_1007a,whether,1
gig_1007b,and,1
gig_1007b,as,1
gig_1007b,because,2
gig_1007b,so,2
gig_1007b,then,1
gig_1007b,therefore,1
gig_1007b,until,1
gig_1008,and so,2
gig_1009,after,2
gig_1009,as,2
gig_1009,if,1
gig_1009,once,1
gig_100a,after,1
gig_100a,and,2
gig_100a,because,5
gig_100a,even though,1
gig_100a,so,2
gig_100b,as,1
gig_100b,at the same time,1
gig_100b,if,1
gig_100b,so,2
gig_100b,then,2
gig_100b,while,1
gig_1010a,after,1
gig_1010a,and,2
gig_1010a,and so,1
gig_1010a,as,5
gig_1010a,because,3
gig_1010a,but,1
gig_1010a,elsewhere,1
gig_1010a,for example,2
gig_1010a,if,2
gig_1010a,once,1
gig_1010a,particularly,1
gig_1010a,rather than,1
gig_1010a,since,1
gig_1010a,such as,2
gig_1010a,then,1
gig_1010a,thus,1
gig_1010a,unless,1
gig_1010a,whether,2
gig_1010a,yet,1
gig_1010b,because,6
gig_1010b,if,2
gig_1010b,meaning that,1
gig_1010b,rather,1
gig_1010b,so,2
gig_1010b,thus,2
gig_1010b,when,4
gig_1010b,whereas,1
gig_1010c,although,1
gig_1010c,and so,1
gig_1010c,and there,1
gig_1010c,because,5
gig_1010c,before,2
gig_1010c,for example,1
gig_1010c,i.e.,1
gig_1010c,if,2
gig_1010c,in the same way,1
gig_1010c,so,1
gig_1010c,then,3
gig_1010c,thus,1
gig_1010c,until,1
gig_1010c,when,1
gig_1010c,whether,1
gig_1011,and,1
gig_1011,because,2
gig_1011,if,2
gig_1011,so that,1
gig_1011,when,1
gig_1012,as,1
gig_1012,at the same time,1
gig_1012,however,2
gig_1012,if,3
gig_1012,that is,1
gig_1012,then,2
gig_1012,where,1
gig_1012,whether,3
gig_1013,after,1
gig_1013,in which,1
gig_1013,until,2
gig_1014a,as opposed to,1
gig_1014a,e.g.,1
gig_1014a,meaning that,1
gig_1014a,still,1
gig_1014a,therefore,1
gig_1014a,when,1
gig_1014b,however,1
gig_1014b,if,3
gig_1014b,in case,1
gig_1014b,then,2
gig_1014b,until,1
gig_1014b,where,1
gig_1014b,whether,2
gig_1014c,as,1
gig_1014c,because,1
gig_1014c,if,1
gig_1014c,so,1
gig_1014c,until,2
gig_1015a,and,1
gig_1015a,away from,1
gig_1015a,because,8
gig_1015a,before,2
gig_1015a,for example,1
gig_1015a,however,2
gig_1015a,if,1
gig_1015a,later on,1
gig_1015a,such as,1
gig_1015a,therefore,1
gig_1015a,when,2
gig_1015a,where,1
gig_1015a,which implies,1
gig_1015a,whilst,2
gig_1015b,after,1
gig_1015b,and,1
gig_1015b,as if,1
gig_1015b,away from,1
gig_1015b,because,5
gig_1015b,but,1
gig_1015b,but that,1
gig_1015b,for example,2
gig_1015b,however,2
gig_1015b,in which,1
gig_1015b,such as,3
gig_1015b,that is,1
gig_1015b,therefore,1
gig_1015b,when,3
gig_1015b,whereas,1
gig_1015c,and,1
gig_1015c,because,1
gig_1015c,in which,1
gig_1015c,such as,1
gig_1015c,therefore,2
gig_1015d,actually,2
gig_1015d,as,2
gig_1015d,because,7
gig_1015d,before,1
gig_1015d,but,1
gig_1015d,due to the fact that,1
gig_1015d,however,2
gig_1015d,if,2
gig_1015d,later on,1
gig_1015d,once,2
gig_1015d,so,1
gig_1015d,such as,1
gig_1015d,then,1
gig_1015d,therefore,3
gig_1015d,until,1
gig_1015d,when,1
gig_1015e,and,2
gig_1015e,as though,1
gig_1015e,because,6
gig_1015e,before,1
gig_1015e,but,1
gig_1015e,due to the fact that,1
gig_1015e,earlier,1
gig_1015e,once,1
gig_1015e,such as,1
gig_1015e,that is,2
gig_1015e,therefore,1
gig_1015e,via,1
gig_1015e,when,1
gig_1015e,where,1
gig_1015e,yet,1
gig_1015f,actually,1
gig_1015f,and,1
gig_1015f,as if,1
gig_1015f,however,1
gig_1015f,rather than,1
gig_1015f,therefore,1
gig_1015f,when,1
gig_1015g,afterwards,1
gig_1015g,and,1
gig_1015g,because,1
gig_1015g,in which,1
