text_id,macro_category,n_cases
gig_1,Elaboration,1
gig_1,Enhancement,7
gig_1,Extension,3
gig_1000a,Enhancement,1
gig_1000b,Enhancement,6
gig_1000b,Extension,1
gig_1000c,Enhancement,7
gig_1000d,Enhancement,3
gig_1000e,Enhancement,5
gig_1000e,Extension,1
gig_1001a,Enhancement,3
gig_1001a,Extension,1
gig_1001c,Enhancement,4
gig_1001c,Extension,1
gig_1001d,Enhancement,3
gig_1001e,Enhancement,4
gig_1002a,Enhancement,9
gig_1002b,Enhancement,2
gig_1003,Elaboration,1
gig_1003,Enhancement,3
gig_1003,Extension,2
gig_1004,Enhancement,7
gig_1005a,Enhancement,2
gig_1005b,Enhancement,3
gig_1005c,Elaboration,2
gig_1005c,Enhancement,11
gig_1005c,Extension,3
gig_1006a,Enhancement,6
gig_1006a,Extension,5
gig_1006b,Enhancement,4
gig_1007a,Elaboration,1
gig_1007a,Enhancement,1
gig_1007a,Extension,1
gig_1007b,Enhancement,8
gig_1007b,Extension,1
gig_1008,Enhancement,2
gig_1009,Enhancement,6
gig_100a,Enhancement,9
gig_100a,Extension,2
gig_100b,Enhancement,8
gig_1010a,Elaboration,5
gig_1010a,Enhancement,19
gig_1010a,Extension,6
gig_1010b,Elaboration,1
gig_1010b,Enhancement,16
gig_1010b,Extension,2
gig_1010c,Elaboration,2
gig_1010c,Enhancement,20
gig_1010c,Extension,1
gig_1011,Enhancement,6
gig_1011,Extension,1
gig_1012,Elaboration,1
gig_1012,Enhancement,10
gig_1012,Extension,3
gig_1013,Enhancement,4
gig_1014a,Elaboration,2
gig_1014a,Enhancement,3
gig_1014a,Extension,1
gig_1014b,Enhancement,9
gig_1014b,Extension,2
gig_1014c,Enhancement,6
gig_1015a,Elaboration,3
gig_1015a,Enhancement,21
gig_1015a,Extension,1
gig_1015b,Elaboration,6
gig_1015b,Enhancement,15
gig_1015b,Extension,4
gig_1015c,Elaboration,1
gig_1015c,Enhancement,4
gig_1015c,Extension,1
gig_1015d,Elaboration,3
gig_1015d,Enhancement,25
gig_1015d,Extension,1
gig_1015e,Elaboration,3
gig_1015e,Enhancement,16
gig_1015e,Extension,3
gig_1015f,Elaboration,1
gig_1015f,Enhancement,4
gig_1015f,Extension,2
gig_1015g,Enhancement,5
gig_1015g,Extension,1
gig_1015h,Elaboration,1
gig_1015h,Enhancement,10
gig_1015h,Extension,2
gig_1015i,Enhancement,21
gig_1015i,Extension,1
gig_1015j,Elaboration,2
gig_1015j,Enhancement,8
gig_1015k,Elaboration,1
gig_1015k,Enhancement,13
gig_1015k,Extension,1
gig_1015l,Elaboration,1
gig_1015l,Enhancement,1
gig_1015l,Extension,1
gig_1015m,Enhancement,6
gig_1015m,Extension,1
gig_1015n,Elaboration,2
gig_1015n,Enhancement,9
gig_1015o,Elaboration,1
gig_1015o,Enhancement,20
gig_1015p,Enhancement,8
gig_1015q,Elaboration,2
gig_1015q,Enhancement,22
gig_1015q,Extension,2
gig_1016a,Enhancement,3
gig_1016a,Extension,2
gig_1016b,Elaboration,2
gig_1016b,Enhancement,3
gig_1016b,Extension,1
gig_1016c,Elaboration,1
gig_1016d,Elaboration,5
gig_1016d,Enhancement,3
gig_1017a,Elaboration,1
gig_1017a,Enhancement,3
gig_1017b,Elaboration,1
gig_1017b,Enhancement,6
gig_1017b,Extension,1
gig_1017c,Enhancement,6
gig_1017c,Extension,2
gig_1017d,Enhancement,2
gig_1017e,Enhancement,1
gig_1017e,Extension,2
gig_1017f,Enhancement,4
gig_1017g,Elaboration,1
gig_1017g,Enhancement,7
gig_1017g,Extension,1
gig_1017h,Elaboration,1
gig_1017h,Enhancement,9
gig_1017h,Extension,3
gig_1017i,Enhancement,12
gig_1017i,Extension,2
gig_1017j,Enhancement,7
gig_1017j,Extension,1
gig_1017k,Elaboration,1
gig_1017k,Enhancement,8
gig_1017k,Extension,2
gig_1017m,Enhancement,2
gig_1017n,Elaboration,2
gig_1017n,Enhancement,8
gig_1017n,Extension,1
gig_1017o,Enhancement,11
gig_1017o,Extension,1
gig_1017p,Enhancement,3
gig_1017q,Elaboration,1
gig_1017q,Enhancement,3
gig_1017q,Extension,1
gig_1017r,Enhancement,2
gig_1017r,Extension,3
gig_1017s,Enhancement,3
gig_1017t,Elaboration,1
gig_1017t,Enhancement,6
gig_1017t,Extension,1
gig_1017u,Enhancement,4
gig_1018a,Elaboration,1
gig_1018a,Enhancement,1
gig_1018a,Extension,1
gig_1018b,Enhancement,6
gig_1018c,Elaboration,2
gig_1018c,Enhancement,8
gig_1018c,Extension,5
gig_1018d,Enhancement,4
gig_1018d,Extension,1
gig_1018e,Elaboration,1
gig_1018e,Enhancement,11
gig_1018e,Extension,4
gig_1019a,Elaboration,1
gig_1019a,Enhancement,8
gig_1019a,Extension,1
gig_1019b,Elaboration,1
gig_1019b,Enhancement,5
gig_1019b,Extension,1
gig_1019c,Extension,2
gig_1019d,Enhancement,11
gig_1019d,Extension,4
gig_1019e,Enhancement,4
gig_1019e,Extension,1
gig_1019f,Elaboration,1
gig_1019f,Enhancement,3
gig_1019g,Enhancement,5
gig_1019g,Extension,2
gig_1019h,Enhancement,2
gig_1019i,Enhancement,5
gig_1019j,Elaboration,1
gig_1019k,Enhancement,9
gig_1019l,Enhancement,7
gig_1019l,Extension,2
gig_1019m,Enhancement,6
gig_1019m,Extension,3
gig_101a,Enhancement,2
gig_101b,Enhancement,8
gig_101b,Extension,1
gig_101c,Enhancement,5
gig_101c,Extension,1
gig_1020a,Enhancement,1
gig_1020a,Extension,3
gig_1020b,Enhancement,4
gig_1020b,Extension,1
gig_1020c,Enhancement,1
gig_1020d,Enhancement,13
gig_1020e,Elaboration,1
gig_1020e,Enhancement,3
gig_1020g,Elaboration,1
gig_1020g,Enhancement,6
gig_1020g,Extension,2
gig_1020h,Elaboration,1
gig_1020h,Enhancement,3
gig_1020h,Extension,2
gig_1020i,Enhancement,7
gig_1020i,Extension,2
gig_1020j,Elaboration,1
gig_1020j,Enhancement,4
gig_1020k,Elaboration,1
gig_1020k,Enhancement,7
gig_1020k,Extension,1
gig_1020l,Extension,1
gig_1020m,Enhancement,1
gig_1020m,Extension,2
gig_1021a,Elaboration,1
gig_1021a,Enhancement,5
gig_1021b,Elaboration,1
gig_1021b,Enhancement,4
gig_1021b,Extension,1
gig_1021c,Enhancement,11
gig_1021c,Extension,2
gig_1021d,Elaboration,1
gig_1021d,Enhancement,5
gig_1021d,Extension,2
gig_1021e,Enhancement,1
gig_1022a,Elaboration,1
gig_1022a,Enhancement,4
gig_1022b,Enhancement,15
gig_1022b,Extension,3
gig_1022c,Enhancement,3
gig_1022c,Extension,3
gig_1022d,Enhancement,20
gig_1022d,Extension,2
gig_1022e,Enhancement,17
gig_1022e,Extension,7
gig_1022f,Elaboration,2
gig_1022f,Enhancement,3
gig_1022f,Extension,5
gig_1022g,Enhancement,5
gig_1022g,Extension,1
gig_1022h,Enhancement,1
gig_1022h,Extension,2
gig_1022i,Elaboration,2
gig_1022i,Enhancement,10
gig_1022j,Enhancement,5
gig_1022j,Extension,4
gig_1022k,Enhancement,1
gig_1022k,Extension,2
gig_1022l,Elaboration,1
gig_1022l,Enhancement,11
gig_1022l,Extension,1
gig_1022m,Enhancement,3
gig_1023a,Enhancement,6
gig_1023a,Extension,1
gig_1023b,Elaboration,1
gig_1023b,Enhancement,1
gig_1023c,Elaboration,1
gig_1023c,Enhancement,6
gig_1023c,Extension,4
gig_1023d,Enhancement,8
gig_1023d,Extension,3
gig_1023e,Enhancement,5
gig_1023e,Extension,2
gig_1023f,Enhancement,4
gig_1023f,Extension,2
gig_1023g,Enhancement,5
gig_1023g,Extension,5
