text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,interpara_enh_spatio_temporal_simple_concl_raw,interpara_enh_spatio_temporal_simple_concl_per_1000,interpara_enh_spatio_temporal_complex_punctiliar_raw,interpara_enh_spatio_temporal_complex_punctiliar_per_1000,interpara_enh_caus_reason_raw,interpara_enh_caus_reason_per_1000,interpara_enh_spatio_temporal_simple_sim_raw,interpara_enh_spatio_temporal_simple_sim_per_1000,macro_extension_raw,macro_extension_per_1000,interpara_enh_spatio_temporal_simple_following_raw,interpara_enh_spatio_temporal_simple_following_per_1000,interpara_ext_add_positive_raw,interpara_ext_add_positive_per_1000,interpara_enh_spatio_temporal_complex_interrupted_raw,interpara_enh_spatio_temporal_complex_interrupted_per_1000,interpara_enh_caus_general_raw,interpara_enh_caus_general_per_1000,interpara_ext_var_repl_raw,interpara_ext_var_repl_per_1000,interpara_enh_spatio_temporal_complex_specific_raw,interpara_enh_spatio_temporal_complex_specific_per_1000,interpara_ext_adv_raw,interpara_ext_adv_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,interpara_elab_clar_sum_raw,interpara_elab_clar_sum_per_1000,interpara_enh_manner_comparison_positive_raw,interpara_enh_manner_comparison_positive_per_1000,interpara_elab_clar_distractive_raw,interpara_elab_clar_distractive_per_1000,interpara_elab_clar_verif_raw,interpara_elab_clar_verif_per_1000,interpara_enh_spatio_temporal_simple_preceding_raw,interpara_enh_spatio_temporal_simple_preceding_per_1000,interpara_enh_spatio_temporal_complex_repetitive_raw,interpara_enh_spatio_temporal_complex_repetitive_per_1000,interpara_enh_manner_means_raw,interpara_enh_manner_means_per_1000,interpara_enh_caus_cond_positive_raw,interpara_enh_caus_cond_positive_per_1000,interpara_enh_caus_cond_negative_raw,interpara_enh_caus_cond_negative_per_1000,interpara_enh_caus_purpose_raw,interpara_enh_caus_purpose_per_1000,interpara_elab_clar_dismissive_raw,interpara_elab_clar_dismissive_per_1000,interpara_enh_caus_conc_raw,interpara_enh_caus_conc_per_1000,interpara_enh_spatio_temporal_complex_durative_raw,interpara_enh_spatio_temporal_complex_durative_per_1000,interpara_elab_appositive_raw,interpara_elab_appositive_per_1000,interpara_ext_var_subtr_raw,interpara_ext_var_subtr_per_1000,interpara_enh_matter_positive_raw,interpara_enh_matter_positive_per_1000,interpara_enh_spatio_temporal_complex_immediate_raw,interpara_enh_spatio_temporal_complex_immediate_per_1000
cn_wr_b1_24_14_14_zy,inter_paragraph_v2_true_boundaries,344,parser_full_text,1,2.9069767441860463,1.0,2.9069767441860463,1.0,2.9069767441860463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_b1_28_14_14_yxy,inter_paragraph_v2_true_boundaries,396,parser_full_text,1,2.5252525252525255,1.0,2.5252525252525255,,,1.0,2.5252525252525255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_b2_26_17_14_js,inter_paragraph_v2_true_boundaries,531,parser_full_text,1,1.8832391713747645,1.0,1.8832391713747645,,,,,1.0,1.8832391713747645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_c1_22_16_14_ihs,inter_paragraph_v2_true_boundaries,887,parser_full_text,1,1.1273957158962795,1.0,1.1273957158962795,,,,,,,1.0,1.1273957158962795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_a2_18_8.5_14_al,inter_paragraph_v2_true_boundaries,304,parser_full_text,4,13.157894736842104,3.0,9.868421052631579,,,,,,,,,1.0,3.289473684210526,3.0,9.868421052631579,1.0,3.289473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_a2_18_9_14_kz,inter_paragraph_v2_true_boundaries,480,parser_full_text,2,4.166666666666667,2.0,4.166666666666667,,,,,,,,,,,2.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_a2_19_13_14_vv,inter_paragraph_v2_true_boundaries,716,parser_full_text,3,4.189944134078212,3.0,4.189944134078212,,,,,,,,,,,3.0,4.189944134078212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_b1_20_14_14_at,inter_paragraph_v2_true_boundaries,452,parser_full_text,1,2.2123893805309733,1.0,2.2123893805309733,,,,,,,,,,,,,,,1.0,2.2123893805309733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_b1_47_4_14_vh,inter_paragraph_v2_true_boundaries,441,parser_full_text,3,6.802721088435374,3.0,6.802721088435374,,,,,,,1.0,2.2675736961451247,,,,,,,,,2.0,4.535147392290249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_b2_18_8_14_nd,inter_paragraph_v2_true_boundaries,475,parser_full_text,1,2.1052631578947367,1.0,2.1052631578947367,,,,,,,,,,,,,,,,,1.0,2.1052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_c2_19_12.5_14_vk,inter_paragraph_v2_true_boundaries,433,parser_full_text,1,2.3094688221709005,1.0,2.3094688221709005,1.0,2.3094688221709005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cz_wr_c2_27_23_14_vj,inter_paragraph_v2_true_boundaries,1159,parser_full_text,1,0.8628127696289906,,,,,,,,,,,1.0,0.8628127696289906,,,,,,,,,1.0,0.8628127696289906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_b1_22_11_13_ls,inter_paragraph_v2_true_boundaries,317,parser_full_text,2,6.309148264984227,1.0,3.1545741324921135,,,,,,,,,1.0,3.1545741324921135,,,,,,,,,,,1.0,3.1545741324921135,1.0,3.1545741324921135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_b2_19_9_13_ia,inter_paragraph_v2_true_boundaries,502,parser_full_text,1,1.9920318725099602,1.0,1.9920318725099602,,,,,,,,,,,,,,,,,,,,,1.0,1.9920318725099602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_b2_23_21_13_lb,inter_paragraph_v2_true_boundaries,496,parser_full_text,1,2.0161290322580645,1.0,2.0161290322580645,,,,,,,,,,,,,,,,,1.0,2.0161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_b2_27_16_13_kk,inter_paragraph_v2_true_boundaries,560,parser_full_text,3,5.357142857142857,1.0,1.7857142857142856,,,,,,,,,2.0,3.571428571428571,,,,,1.0,1.7857142857142856,,,,,,,2.0,3.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_b2_52_11_13_re,inter_paragraph_v2_true_boundaries,531,parser_full_text,1,1.8832391713747645,1.0,1.8832391713747645,,,,,,,,,,,,,,,,,,,,,1.0,1.8832391713747645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_19_10_13_cd,inter_paragraph_v2_true_boundaries,451,parser_full_text,1,2.2172949002217295,1.0,2.2172949002217295,,,,,,,,,,,,,,,,,,,,,1.0,2.2172949002217295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_19_12_14_kw,inter_paragraph_v2_true_boundaries,525,parser_full_text,2,3.8095238095238093,,,,,,,,,,,1.0,1.9047619047619047,,,,,,,,,,,,,1.0,1.9047619047619047,1.0,1.9047619047619047,1.0,1.9047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_20_10_14_sb,inter_paragraph_v2_true_boundaries,686,parser_full_text,1,1.4577259475218658,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.4577259475218658,1.0,1.4577259475218658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_20_12_14_jk,inter_paragraph_v2_true_boundaries,458,parser_full_text,1,2.1834061135371177,1.0,2.1834061135371177,,,,,,,1.0,2.1834061135371177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_20_12_14_jt,inter_paragraph_v2_true_boundaries,427,parser_full_text,1,2.34192037470726,1.0,2.34192037470726,,,,,,,,,,,1.0,2.34192037470726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_20_12_14_tz,inter_paragraph_v2_true_boundaries,417,parser_full_text,1,2.398081534772182,,,,,,,,,,,1.0,2.398081534772182,,,,,,,,,,,,,1.0,2.398081534772182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_20_12_14_vs,inter_paragraph_v2_true_boundaries,554,parser_full_text,5,9.025270758122744,4.0,7.220216606498195,,,,,,,,,1.0,1.8050541516245489,3.0,5.415162454873646,1.0,1.8050541516245489,1.0,1.8050541516245489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_21_11_13_sh,inter_paragraph_v2_true_boundaries,507,parser_full_text,1,1.9723865877712032,,,,,,,,,,,1.0,1.9723865877712032,,,,,,,,,,,,,1.0,1.9723865877712032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_21_12_13_lj,inter_paragraph_v2_true_boundaries,505,parser_full_text,1,1.9801980198019802,1.0,1.9801980198019802,,,,,,,,,,,,,,,,,,,,,1.0,1.9801980198019802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_21_12_14_mcn,inter_paragraph_v2_true_boundaries,589,parser_full_text,1,1.697792869269949,1.0,1.697792869269949,,,,,1.0,1.697792869269949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_wr_c1_25_12_13_os,inter_paragraph_v2_true_boundaries,449,parser_full_text,4,8.908685968819599,2.0,4.4543429844097995,,,,,,,,,2.0,4.4543429844097995,,,,,,,2.0,4.4543429844097995,,,,,2.0,4.4543429844097995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
