text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_extension_raw,macro_extension_per_1000,interpara_ext_adv_raw,interpara_ext_adv_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,interpara_enh_caus_reason_raw,interpara_enh_caus_reason_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,interpara_elab_clar_sum_raw,interpara_elab_clar_sum_per_1000,interpara_enh_caus_cond_positive_raw,interpara_enh_caus_cond_positive_per_1000,interpara_ext_var_alt_raw,interpara_ext_var_alt_per_1000,interpara_enh_spatio_temporal_simple_following_raw,interpara_enh_spatio_temporal_simple_following_per_1000,interpara_enh_manner_means_raw,interpara_enh_manner_means_per_1000,interpara_ext_add_positive_raw,interpara_ext_add_positive_per_1000,interpara_enh_spatio_temporal_complex_durative_raw,interpara_enh_spatio_temporal_complex_durative_per_1000,interpara_enh_spatio_temporal_complex_specific_raw,interpara_enh_spatio_temporal_complex_specific_per_1000,interpara_enh_spatio_temporal_complex_interrupted_raw,interpara_enh_spatio_temporal_complex_interrupted_per_1000,interpara_enh_spatio_temporal_simple_concl_raw,interpara_enh_spatio_temporal_simple_concl_per_1000,interpara_elab_clar_verif_raw,interpara_elab_clar_verif_per_1000,interpara_enh_caus_general_raw,interpara_enh_caus_general_per_1000,interpara_enh_spatio_temporal_simple_preceding_raw,interpara_enh_spatio_temporal_simple_preceding_per_1000,interpara_elab_exemp_raw,interpara_elab_exemp_per_1000,interpara_elab_appositive_raw,interpara_elab_appositive_per_1000,interpara_ext_var_repl_raw,interpara_ext_var_repl_per_1000,interpara_elab_clar_corrective_raw,interpara_elab_clar_corrective_per_1000,interpara_enh_caus_conc_raw,interpara_enh_caus_conc_per_1000,interpara_enh_spatio_temporal_complex_repetitive_raw,interpara_enh_spatio_temporal_complex_repetitive_per_1000,interpara_enh_spatio_temporal_complex_terminal_raw,interpara_enh_spatio_temporal_complex_terminal_per_1000,interpara_enh_spatio_temporal_complex_immediate_raw,interpara_enh_spatio_temporal_complex_immediate_per_1000,interpara_enh_caus_cond_negative_raw,interpara_enh_caus_cond_negative_per_1000,interpara_enh_spatio_temporal_simple_sim_raw,interpara_enh_spatio_temporal_simple_sim_per_1000,interpara_ext_add_negative_raw,interpara_ext_add_negative_per_1000,interpara_enh_caus_result_raw,interpara_enh_caus_result_per_1000,interpara_enh_manner_comparison_positive_raw,interpara_enh_manner_comparison_positive_per_1000,interpara_ext_var_subtr_raw,interpara_ext_var_subtr_per_1000,interpara_elab_clar_dismissive_raw,interpara_elab_clar_dismissive_per_1000,interpara_enh_caus_purpose_raw,interpara_enh_caus_purpose_per_1000,interpara_enh_manner_comparison_negative_raw,interpara_enh_manner_comparison_negative_per_1000,interpara_enh_matter_positive_raw,interpara_enh_matter_positive_per_1000,interpara_enh_matter_negative_raw,interpara_enh_matter_negative_per_1000,interpara_enh_spatio_temporal_complex_punctiliar_raw,interpara_enh_spatio_temporal_complex_punctiliar_per_1000
gig_1,inter_paragraph_v2_true_boundaries,369,parser_full_text,1,2.710027100271003,1.0,2.710027100271003,1.0,2.710027100271003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1000e,inter_paragraph_v2_true_boundaries,240,parser_full_text,1,4.166666666666667,1.0,4.166666666666667,1.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1001c,inter_paragraph_v2_true_boundaries,160,parser_full_text,1,6.25,,,,,1.0,6.25,1.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1001d,inter_paragraph_v2_true_boundaries,169,parser_full_text,1,5.9171597633136095,,,,,,,,,1.0,5.9171597633136095,1.0,5.9171597633136095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1001e,inter_paragraph_v2_true_boundaries,251,parser_full_text,1,3.9840637450199203,1.0,3.9840637450199203,1.0,3.9840637450199203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1002a,inter_paragraph_v2_true_boundaries,325,parser_full_text,4,12.307692307692308,1.0,3.076923076923077,,,3.0,9.230769230769232,,,,,,,3.0,9.230769230769232,1.0,3.076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1004,inter_paragraph_v2_true_boundaries,181,parser_full_text,1,5.524861878453039,,,,,1.0,5.524861878453039,,,,,,,1.0,5.524861878453039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1005c,inter_paragraph_v2_true_boundaries,463,parser_full_text,1,2.1598272138228944,,,,,1.0,2.1598272138228944,,,,,,,,,,,1.0,2.1598272138228944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1007b,inter_paragraph_v2_true_boundaries,311,parser_full_text,1,3.215434083601286,,,,,1.0,3.215434083601286,,,,,,,1.0,3.215434083601286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_100a,inter_paragraph_v2_true_boundaries,286,parser_full_text,1,3.4965034965034967,1.0,3.4965034965034967,1.0,3.4965034965034967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1010b,inter_paragraph_v2_true_boundaries,651,parser_full_text,1,1.5360983102918586,,,,,1.0,1.5360983102918586,,,,,,,1.0,1.5360983102918586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_1011,inter_paragraph_v2_true_boundaries,509,parser_full_text,4,7.858546168958742,,,,,4.0,7.858546168958742,,,,,,,,,,,3.0,5.893909626719057,1.0,1.9646365422396854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
