corpus,text_id,group,word_count_text,paragraph_count_text,eligible_paragraph_starts,supported_interparagraph_elaboration_raw,supported_interparagraph_enhancement_raw,supported_interparagraph_extension_raw,supported_interparagraph_total_raw,supported_interparagraph_total_per_1000,supported_interparagraph_total_per_eligible_paragraph_start,supported_interparagraph_elaboration_per_1000,supported_interparagraph_elaboration_per_eligible_paragraph_start,supported_interparagraph_enhancement_per_1000,supported_interparagraph_enhancement_per_eligible_paragraph_start,supported_interparagraph_extension_per_1000,supported_interparagraph_extension_per_eligible_paragraph_start
COREFL,CN_WR_A2_23_17_14_D,A2,559,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_A2_30_12_14_HYW,A2,188,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_B1_24_14_14_ZY,B1,152,6,5,0,1,0,1,6.578947368421052,0.2,0.0,0.0,6.578947368421052,0.2,0.0,0.0
COREFL,CN_WR_B1_25_12_14_GJ,B1,168,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_B1_28_14_14_YXY,B1,190,4,3,0,1,0,1,5.263157894736842,0.3333333333333333,0.0,0.0,5.263157894736842,0.3333333333333333,0.0,0.0
COREFL,CN_WR_B1_30_12_14_HYW,B1,137,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_B2_26_17_14_JS,B2,330,6,5,0,1,0,1,3.0303030303030303,0.2,0.0,0.0,3.0303030303030303,0.2,0.0,0.0
COREFL,CN_WR_C1_20_13_14_LC,C1,425,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_C1_22_16_14_IHS,C1,697,2,1,0,1,0,1,1.4347202295552368,1.0,0.0,0.0,1.4347202295552368,1.0,0.0,0.0
COREFL,CN_WR_C1_27_22_14_SUN,C1,55,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CN_WR_C1_32_25_14_WYY,C1,717,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CZ_WR_A2_18_10_14_DP,A2,90,12,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CZ_WR_A2_18_14_14_SVVV,A2,283,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CZ_WR_A2_18_8.5_14_AL,A2,102,5,4,0,3,1,4,39.21568627450981,1.0,0.0,0.0,29.41176470588235,0.75,9.803921568627452,0.25
COREFL,CZ_WR_A2_18_9_14_KZ,A2,279,5,4,0,2,0,2,7.168458781362007,0.5,0.0,0.0,7.168458781362007,0.5,0.0,0.0
COREFL,CZ_WR_A2_19_13_14_VV,A2,511,10,9,0,3,0,3,5.870841487279844,0.3333333333333333,0.0,0.0,5.870841487279844,0.3333333333333333,0.0,0.0
COREFL,CZ_WR_B1_18_14_14_KN,B1,475,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COREFL,CZ_WR_B1_20_14_14_AT,B1,244,5,4,0,1,0,1,4.0983606557377055,0.25,0.0,0.0,4.0983606557377055,0.25,0.0,0.0
