text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,intersent_enh_spatio_temporal_simple_following_raw,intersent_enh_spatio_temporal_simple_following_per_1000,macro_extension_raw,macro_extension_per_1000,intersent_ext_adv_raw,intersent_ext_adv_per_1000,intersent_enh_caus_general_raw,intersent_enh_caus_general_per_1000,intersent_enh_spatio_temporal_simple_concl_raw,intersent_enh_spatio_temporal_simple_concl_per_1000,intersent_enh_spatio_temporal_simple_sim_raw,intersent_enh_spatio_temporal_simple_sim_per_1000,intersent_enh_caus_conc_raw,intersent_enh_caus_conc_per_1000,intersent_enh_spatio_temporal_complex_interrupted_raw,intersent_enh_spatio_temporal_complex_interrupted_per_1000,intersent_ext_add_positive_raw,intersent_ext_add_positive_per_1000,intersent_enh_caus_reason_raw,intersent_enh_caus_reason_per_1000,intersent_enh_caus_cond_positive_raw,intersent_enh_caus_cond_positive_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intersent_elab_appositive_raw,intersent_elab_appositive_per_1000,intersent_enh_spatio_temporal_complex_repetitive_raw,intersent_enh_spatio_temporal_complex_repetitive_per_1000,intersent_enh_caus_cond_negative_raw,intersent_enh_caus_cond_negative_per_1000,intersent_enh_spatio_temporal_complex_punctiliar_raw,intersent_enh_spatio_temporal_complex_punctiliar_per_1000,intersent_elab_clar_corrective_raw,intersent_elab_clar_corrective_per_1000,intersent_elab_clar_sum_raw,intersent_elab_clar_sum_per_1000,intersent_ext_var_repl_raw,intersent_ext_var_repl_per_1000,intersent_enh_spatio_temporal_complex_specific_raw,intersent_enh_spatio_temporal_complex_specific_per_1000,intersent_enh_spatio_temporal_complex_durative_raw,intersent_enh_spatio_temporal_complex_durative_per_1000,intersent_enh_caus_result_raw,intersent_enh_caus_result_per_1000,intersent_ext_var_alt_raw,intersent_ext_var_alt_per_1000,intersent_enh_spatio_temporal_complex_immediate_raw,intersent_enh_spatio_temporal_complex_immediate_per_1000,intersent_enh_spatio_temporal_simple_preceding_raw,intersent_enh_spatio_temporal_simple_preceding_per_1000,intersent_enh_manner_means_raw,intersent_enh_manner_means_per_1000,intersent_elab_clar_verif_raw,intersent_elab_clar_verif_per_1000,intersent_enh_caus_purpose_raw,intersent_enh_caus_purpose_per_1000,intersent_ext_add_negative_raw,intersent_ext_add_negative_per_1000,intersent_enh_spatio_temporal_complex_terminal_raw,intersent_enh_spatio_temporal_complex_terminal_per_1000,intersent_elab_exemp_raw,intersent_elab_exemp_per_1000,intersent_elab_clar_dismissive_raw,intersent_elab_clar_dismissive_per_1000,intersent_ext_var_subtr_raw,intersent_ext_var_subtr_per_1000,intersent_elab_clar_particularizing_raw,intersent_elab_clar_particularizing_per_1000,intersent_elab_clar_distractive_raw,intersent_elab_clar_distractive_per_1000,intersent_enh_matter_negative_raw,intersent_enh_matter_negative_per_1000
cn_wr_a1_24_11_14_jw,inter_sentential_v2,293,parser_full_text,1,3.4129692832764507,1.0,3.4129692832764507,1.0,3.4129692832764507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_19_10_14_y,inter_sentential_v2,295,parser_full_text,3,10.169491525423728,1.0,3.389830508474576,1.0,3.389830508474576,2.0,6.779661016949152,2.0,6.779661016949152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_20_12_14_lyl,inter_sentential_v2,323,parser_full_text,2,6.191950464396285,1.0,3.0959752321981426,1.0,3.0959752321981426,1.0,3.0959752321981426,1.0,3.0959752321981426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_17_14_d,inter_sentential_v2,766,parser_full_text,3,3.9164490861618795,2.0,2.6109660574412534,,,1.0,1.3054830287206267,1.0,1.3054830287206267,2.0,2.6109660574412534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_17_14_xdm,inter_sentential_v2,273,parser_full_text,1,3.663003663003663,1.0,3.663003663003663,,,,,,,,,1.0,3.663003663003663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_9_14_hyn,inter_sentential_v2,313,parser_full_text,2,6.3897763578274756,1.0,3.1948881789137378,,,1.0,3.1948881789137378,1.0,3.1948881789137378,,,1.0,3.1948881789137378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_24_10_14_jwt,inter_sentential_v2,381,parser_full_text,1,2.6246719160104988,1.0,2.6246719160104988,1.0,2.6246719160104988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_24_14_14_jz,inter_sentential_v2,322,parser_full_text,3,9.316770186335404,2.0,6.211180124223602,,,1.0,3.105590062111801,1.0,3.105590062111801,1.0,3.105590062111801,1.0,3.105590062111801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_25_21_14_zw,inter_sentential_v2,429,parser_full_text,3,6.993006993006993,2.0,4.662004662004662,1.0,2.331002331002331,1.0,2.331002331002331,1.0,2.331002331002331,,,1.0,2.331002331002331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_b1_19_12_14_zxy,inter_sentential_v2,296,parser_full_text,3,10.135135135135135,3.0,10.135135135135135,2.0,6.756756756756757,,,,,,,1.0,3.3783783783783785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_b1_20_11_14_pjy,inter_sentential_v2,371,parser_full_text,6,16.172506738544474,5.0,13.477088948787063,,,1.0,2.6954177897574128,1.0,2.6954177897574128,4.0,10.781671159029651,1.0,2.6954177897574128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
